Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	50060500	+78131	809574	+411	39552467	+41297	9698459	13780	149982	2426	762235227	2283673	333775983	North America
India	34641561	+8306	473537	+211	34060774	+6918	107250	8944	24755	338	647252850	462527	1399383625	Asia
Brazil	22143091	+4844	615674	+68	21362553	+3201	164864	8318	103126	2867	63776166	297023	214718105	South America
UK	10463780	+43789	145605	+54	9220626	+32495	1097549	895	152989	2129	368154460	5382724	68395562	Europe
Russia	9801613	+32602	281278	+1206	8502406	+30593	1017929	2300	67123	1926	228000000	1561388	146023904	Europe
Turkey	8901117	+19357	77830	+185	8436712	+24278	386575	1405	103942	909	109449755	1278093	85635216	Asia
France	7917264	+42252	119535	+29	7171380	+3192	626349	2066	120911	1826	167925512	2564534	65479937	Europe
Germany	6179839	+35983	103604	+74	5082500	+24400	993735	4636	73424	1231	85782441	1019196	84166800	Europe
Iran	6134465	+3109	130200	+76	5923316	+7117	80949	3249	71725	1522	39093355	457082	85528070	Asia
Argentina	5340676	+1294	116646	+3	5201840	+1699	22190	656	116639	2548	26410553	576798	45788182	South America
Spain	5202958	N/A	88159	N/A	4927391	N/A	187408	814	111220	1885	66213858	1415411	46780663	Europe
Italy	5109073	+15012	134195	+43	4742887	+6685	231991	736	84679	2224	122335117	2027607	60334736	Europe
Colombia	5081064	+2077	128780	+47	4921311	+2692	30973	342	98361	2493	28330663	548433	51657480	South America
Indonesia	4257685	+196	143867	+4	4106292	+298	7526	N/A	15334	518	55884039	201272	277654573	Asia
Mexico	3900293	+2841	295154	+251	3255802	+2736	349337	4798	29803	2255	11944625	91273	130867492	North America
Poland	3671421	+22389	85675	+45	3142265	+25390	443481	1969	97160	2267	24870097	658159	37787358	Europe
Ukraine	3497477	+6622	88280	+278	3050659	+9274	358538	177	80665	2036	16076359	370781	43358094	Europe
South Africa	3031694	+11125	89966	+1	2858144	+2670	83584	546	50213	1490	19761834	327310	60376468	Africa
Philippines	2834611	+439	49386	+156	2771277	+788	13948	899	25385	442	24390103	218425	111663595	Asia
Netherlands	2751954	+23078	19668	+26	2158065	+10855	574221	593	160099	1144	19205114	1117287	17189057	Europe
Malaysia	2658772	+4298	30614	+40	2566159	+4927	61999	471	80671	929	38384583	1164647	32958138	Asia
Peru	2243415	+769	201379	+19	N/A	N/A	N/A	972	66713	5988	20555444	611267	33627626	South America
Czechia	2240794	+10977	33754	+102	1942232	+289	264808	1018	208691	3144	44283281	4124218	10737376	Europe
Thailand	2141241	+4704	20942	+27	2048815	+6149	71484	1369	30567	299	14913135	212892	70050291	Asia
Iraq	2084346	+457	23885	+12	2050033	+839	10428	94	50213	575	16431593	395847	41509921	Asia
Belgium	1842761	+15294	27224	+57	1368222	+9965	447315	804	158018	2334	25109681	2153175	11661699	Europe
Canada	1809368	+3401	29773	+5	1748969	+2797	30626	497	47347	779	49332335	1290920	38214862	North America
Romania	1786036	+916	57099	+73	1701727	+2644	27210	910	93735	2997	16166181	848431	19054198	Europe
Chile	1772547	+1927	38501	+36	1665361	+2484	68685	693	91602	1990	25950496	1341069	19350607	South America
Japan	1727828	+127	18364	N/A	1708638	+133	826	29	13721	146	28132870	223413	125922947	Asia
Bangladesh	1577443	+197	28001	+6	1542274	+226	7168	1373	9444	168	10981606	65745	167032920	Asia
Israel	1346106	+614	8204	N/A	1332425	+681	5477	109	144339	880	35234839	3778130	9326000	Asia
Vietnam	1309092	+14314	26260	+199	1009277	+1711	273555	6854	13278	266	69737261	707349	98589635	Asia
Pakistan	1286825	+372	28767	+6	1245606	+262	12452	854	5669	127	22211141	97841	227012401	Asia
Serbia	1263663	+1244	11917	+41	1210147	+3561	41599	165	145465	1372	6881800	792190	8687055	Europe
Sweden	1212145	N/A	15136	N/A	1161927	+826	35082	43	118963	1485	13708481	1345388	10189240	Europe
Austria	1198478	+5192	12796	+43	1075482	+11998	110200	651	131994	1409	112526834	12393063	9079824	Europe
Portugal	1166787	+3786	18537	+23	1086887	+1233	61363	134	114907	1826	21858506	2152655	10154206	Europe
Hungary	1134869	N/A	35122	N/A	910745	N/A	189002	566	117905	3649	8559975	889322	9625284	Europe
Switzerland	1060722	+4822	11623	+7	870684	+2824	178415	213	121294	1329	12597593	1440541	8745045	Europe
Jordan	975956	+4555	11761	+46	903088	+3533	61107	1194	94315	1137	12395866	1197922	10347811	Asia
Kazakhstan	975150	+695	12769	+15	941285	+597	21096	528	51062	669	11575012	606103	19097440	Asia
Greece	966221	+3526	18595	+79	876039	+8011	71587	715	93352	1797	38190109	3689771	10350264	Europe
Cuba	963090	+88	8309	+2	954175	+145	606	22	85103	734	11202077	989868	11316734	North America
Morocco	950591	+90	14788	+1	932920	+85	2883	347	25325	394	10500927	279761	37535330	Africa
Georgia	865293	+3410	12344	+46	806596	+4732	46353	N/A	217508	3103	11806621	2967814	3978221	Asia
Nepal	822592	+200	11541	+1	804544	+436	6507	107	27526	386	4662680	156022	29884692	Asia
UAE	742328	+50	2148	N/A	737330	+75	2850	N/A	73782	213	102497410	10187548	10061048	Asia
Slovakia	729475	+7367	14826	+55	595369	+7652	119280	624	133520	2714	4724312	864717	5463422	Europe
Tunisia	718443	+165	25401	+3	691640	+118	1402	68	59894	2118	3198939	266684	11995247	Africa
Bulgaria	703160	+706	28852	+47	573497	+385	100811	674	102298	4197	6704606	975407	6873653	Europe
Lebanon	678801	+1654	8775	+10	634994	N/A	35032	186	100092	1294	4795578	707130	6781746	Asia
Belarus	663813	+1757	5162	+15	652874	+2297	5777	N/A	70283	547	10525190	1114380	9444880	Europe
Croatia	631037	+2796	11218	+68	590341	+4598	29478	310	155081	2757	3509545	862493	4069070	Europe
Guatemala	619852	+310	15986	+6	602717	+374	1149	5	33709	869	3150263	171317	18388494	North America
Azerbaijan	596388	+1394	7967	+20	564577	+1791	23844	N/A	58072	776	5602773	545562	10269722	Asia
Ireland	594250	+5156	5707	N/A	458280	+3918	130263	110	118458	1138	8983297	1790729	5016559	Europe
Sri Lanka	567682	+746	14461	+21	542326	+316	10895	N/A	26353	671	5661108	262799	21541549	Asia
Costa Rica	567563	+56	7317	+2	555304	+1394	4942	68	109981	1418	2715029	526111	5160565	North America
Saudi Arabia	549912	+35	8844	+2	539056	+45	2012	39	15452	249	31698370	890708	35587827	Asia
Bolivia	542859	+770	19215	+5	497115	+828	26529	220	45617	1615	2593083	217899	11900368	South America
Ecuador	529349	+175	33484	N/A	443880	N/A	51985	759	29367	1858	2047260	113576	18025509	South America
Myanmar	524407	+285	19141	+6	500304	+504	4962	N/A	9547	348	5681317	103427	54930935	Asia
Denmark	509111	+3026	2946	+7	447152	+3403	59013	58	87456	506	95689090	16437609	5821351	Europe
Lithuania	479845	+1353	6847	+19	444556	+205	28442	126	179854	2566	6242415	2339767	2667964	Europe
Panama	479053	+222	7374	+1	468838	+177	2841	20	108586	1671	4270313	967947	4411724	North America
S. Korea	473034	+5127	3852	+43	407175	+1632	62007	744	9215	75	15804065	307878	51332250	Asia
Paraguay	463372	+57	16478	+1	446159	+80	735	49	63846	2270	1961558	270275	7257650	South America
Venezuela	434918	+785	5193	+7	422289	+794	7436	681	15357	183	3359014	118606	28320759	South America
Palestine	431863	+275	4549	+3	423981	+204	3333	50	81939	863	2758039	523293	5270549	Asia
Slovenia	430064	+1116	5303	+13	395415	+2235	29346	271	206827	2550	1963636	944353	2079346	Europe
Kuwait	413491	+27	2465	N/A	410723	+22	303	4	94821	565	5432522	1245781	4360736	Asia
Dominican Republic	408516	+271	4212	N/A	402191	+475	2113	155	37127	383	2480431	225426	11003287	North America
Uruguay	400925	+104	6134	+2	392582	+194	2209	16	114847	1757	4152518	1189515	3490934	South America
Mongolia	383543	+327	2016	+3	313256	N/A	68271	192	114366	601	4030048	1201691	3353647	Asia
Honduras	378310	+59	10413	N/A	122039	N/A	245858	53	37347	1028	1122483	110814	10129472	North America
Libya	374989	+709	5493	+13	355121	+2705	14375	N/A	53534	784	1926658	275052	7004702	Africa
Ethiopia	372215	+125	6800	+6	349626	+69	15789	209	3127	57	3898666	32755	119024277	Africa
Moldova	366256	+94	9217	+9	350497	+305	6542	126	91096	2292	2236941	556375	4020560	Europe
Egypt	363162	+902	20727	+45	301308	+871	41127	90	3456	197	3693367	35145	105088625	Africa
