Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	84091524	+98693	1026285	+285	81163689	+48473	1901550	1902	251306	3067	1015745164	3035540	334617623	North America
India	43116600	+3187	524190	+9	42573460	+3295	18950	698	30682	373	842944795	599844	1405273033	Asia
Brazil	30639130	+21344	664700	+136	29703904	+5973	270526	8318	142260	3086	63776166	296119	215373503	South America
France	29097570	+36047	147159	+84	28017331	+88293	933080	1329	443950	2245	271490188	4142201	65542502	Europe
Germany	25665910	+82652	137628	+179	23804600	+127900	1723682	1279	304521	1633	122332384	1451450	84282880	Europe
UK	22159615	+14458	176708	+284	21638156	+21581	344751	253	323261	2578	519264096	7574950	68550166	Europe
Russia	18245394	+4065	377359	+111	17626344	+6930	241691	2300	124925	2584	273400000	1871949	146050996	Europe
S. Korea	17694677	+35883	23554	+63	N/A	N/A	N/A	354	344581	459	15804065	307763	51351355	Asia
Italy	16955306	+39839	164976	+130	15771125	+61866	1019205	334	281200	2736	217129696	3601047	60296265	Europe
Turkey	15050227	+1778	98878	+8	14947920	+1816	3429	975	174943	1149	160361145	1864030	86029250	Asia
Spain	12104378	+22745	105337	+107	11539514	+8575	459527	339	258704	2251	471036328	10067352	46788503	Europe
Vietnam	10690914	+3949	43063	+3	9334964	+7441	1312887	346	108022	435	85808648	867019	98969721	Asia
Argentina	9101319	N/A	128729	N/A	8895999	N/A	76591	372	197992	2800	35716069	776974	45968174	South America
Japan	8217978	+45740	29935	+41	7864759	+50703	323284	159	65349	238	50031352	397846	125755488	Asia
Netherlands	8065843	+1425	22292	+4	7979518	+6260	64033	52	468795	1296	21107399	1226784	17205480	Europe
Iran	7227043	+371	141201	+3	7014783	+2013	71059	782	84040	1642	51622353	600294	85995095	Asia
Australia	6449556	+57646	7670	+57	6081083	+47529	360803	120	247575	294	70326002	2699561	26050899	Australia/Oceania
Colombia	6095316	+1671	139821	+12	5928829	+1753	26666	342	117459	2694	34675581	668214	51892950	South America
Indonesia	6049876	+335	156438	+14	5888571	+785	4867	2771	21691	561	96968564	347669	278910317	Asia
Poland	6002394	+500	116175	+11	5335046	+45	551173	981	158922	3076	36198061	958396	37769420	Europe
Mexico	5745652	N/A	324465	N/A	5044893	N/A	376294	4798	43708	2468	15855490	120615	131455607	North America
Ukraine	5006460	N/A	108449	N/A	N/A	N/A	N/A	177	115771	2508	19521252	451415	43244553	Europe
Malaysia	4470471	+3410	35602	+4	4408043	+1430	26826	51	134904	1074	59150106	1784948	33138284	Asia
Thailand	4353237	+8019	29314	+59	4246499	+8807	77424	1496	62077	418	17270775	246281	70126166	Asia
Austria	4200825	+5134	18291	+12	4119090	+6097	63444	70	461522	2010	184765500	20299203	9102106	Europe
Belgium	4116397	+4831	31613	+10	3912251	+8540	172533	117	352324	2706	33846023	2896893	11683561	Europe
Israel	4102032	+2739	10749	N/A	4073486	+20881	17797	150	439849	1153	41373364	4436346	9326000	Asia
Portugal	4040360	+24876	22554	+25	N/A	N/A	N/A	61	398405	2224	41753538	4117159	10141346	Europe
Czechia	3914713	+590	40244	+5	3867159	+513	7310	13	364296	3745	55304968	5146572	10745981	Europe
South Africa	3871085	+8920	100630	+21	3696731	+5047	73724	192	63773	1658	24804199	408627	60701292	Africa
Canada	3816490	+9865	40161	+177	3495236	+2629	281093	423	99495	1047	61391416	1600466	38358465	North America
Philippines	3687567	+139	60452	+13	3623938	+277	3177	289	32838	538	29785678	265240	112297269	Asia
Switzerland	3631881	N/A	13882	N/A	3533050	+2617	84949	78	414008	1582	20927607	2385592	8772500	Europe
Chile	3591097	+4575	57680	+13	3458211	+1562	75206	177	184900	2970	37525296	1932121	19421812	South America
Peru	3571161	+360	213000	+21	N/A	N/A	N/A	251	105571	6297	30166746	891789	33827210	South America
Greece	3380594	+4782	29491	+20	3294451	+6470	56652	180	327315	2855	81003093	7842863	10328255	Europe
Denmark	2975108	+691	6271	+11	2958077	+992	10760	6	510293	1076	127324433	21838814	5830190	Europe
Romania	2901682	+602	65595	+6	N/A	N/A	N/A	151	152730	3453	22910784	1205910	18998751	Europe
Sweden	2504894	N/A	18864	N/A	2476511	+1240	9519	9	245180	1846	18553837	1816057	10216549	Europe
Iraq	2326162	+129	25216	+1	2299668	+96	1278	14	55513	602	18517002	441902	41902979	Asia
Serbia	2011825	+426	16042	+2	1985614	+507	10169	14	231995	1850	9579268	1104641	8671838	Europe
Bangladesh	1952939	+51	29127	N/A	1898603	+291	25209	1273	11642	174	14039668	83696	167745162	Asia
Hungary	1909948	N/A	46343	N/A	1821435	N/A	42170	29	198649	4820	11394556	1185122	9614673	Europe
Slovakia	1786328	+350	20011	+9	1759094	+1117	7223	30	326893	3662	7122263	1303354	5464567	Europe
Jordan	1694216	N/A	14048	N/A	1678941	N/A	1227	124	163034	1352	16670254	1604177	10391780	Asia
Georgia	1655221	N/A	16811	N/A	1637293	N/A	1117	N/A	416417	4229	16920079	4256722	3974908	Asia
Ireland	1534927	+754	7176	+6	1493735	+7832	34016	28	304518	1424	12138572	2408204	5040509	Europe
Pakistan	1528987	+90	30376	N/A	1494141	N/A	4470	104	6680	133	28298660	123640	228878790	Asia
Norway	1429353	+289	3061	N/A	N/A	N/A	N/A	20	259873	557	11002430	2000372	5500191	Europe
Kazakhstan	1305620	+13	13661	N/A	1291388	+12	571	24	68019	712	11575012	603023	19194987	Asia
Singapore	1232559	+3645	1361	+3	1158385	+2415	72813	7	207640	229	23767171	4003881	5936034	Asia
Hong Kong	1207665	+294	9356	+1	N/A	N/A	N/A	5	158689	1229	44972952	5909516	7610260	Asia
