Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	81169534	+12261	993693	+460	55915138	+157765	24260703	4389	242812	2973	964154387	2884190	334289437	North America
India	42990991	+3116	515850	+17	42437072	+5559	38069	8944	30643	368	778520151	554906	1402976534	Asia
Brazil	29350379	+45265	654993	+381	27671593	+114995	1023793	8318	136439	3045	63776166	296471	215117939	South America
France	23453722	+72443	140080	+51	22146800	+58854	1166842	1928	357973	2138	246629975	3764303	65518106	Europe
UK	19530485	N/A	162738	N/A	18229317	N/A	1138430	253	285159	2376	489876300	7152536	68489880	Europe
Russia	17290197	+48154	360215	+630	15351778	+156851	1578204	2300	118393	2467	273400000	1872084	146040432	Europe
Germany	17027215	+145267	126077	+166	13273700	+120400	3627438	2494	202133	1497	104701826	1242934	84237616	Europe
Turkey	14534239	+20465	96349	+132	14108512	+42751	329378	975	169248	1122	148217550	1725956	85875602	Asia
Italy	13324321	+55018	156782	+133	12180724	+45393	986815	513	220926	2600	192230588	3187308	60311266	Europe
Spain	11223974	N/A	101135	N/A	10294394	N/A	828445	689	239903	2162	471036328	10068010	46785446	Europe
Argentina	8970196	+2986	127122	+71	8769953	+7256	73121	738	195438	2770	34772400	757602	45897988	South America
Iran	7119763	+2219	138831	+139	6774197	+5926	206735	2921	82968	1618	48179304	561445	85812985	Asia
Netherlands	7115857	+60043	21699	+11	5501666	+86766	1592492	162	413735	1262	21107399	1227240	17199076	Europe
S. Korea	6206277	+383651	10144	+269	N/A	N/A	N/A	1066	120877	198	15804065	307808	51343906	Asia
Colombia	6076333	+677	139283	+28	5907585	+947	29465	342	117301	2689	33495384	646615	51801132	South America
Vietnam	5945680	+169935	41290	+62	3068033	+84811	2836357	3934	60166	418	81239516	822083	98821512	Asia
Indonesia	5878910	+14900	151951	+248	5369579	+33733	357380	2771	21115	546	88910570	319339	278420656	Asia
