Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	80917522	+4903	984020	+183	54753181	+158237	25180321	6073	242085	2944	956529658	2861699	334252383	North America
India	42967077	+4124	515133	+70	42388475	N/A	63469	8944	30631	367	771914261	550299	1402717252	Asia
Brazil	29049013	+15961	652207	+219	27058371	+76077	1338435	8318	135056	3032	63776166	296510	215089085	South America
France	23057326	+45328	139275	+32	21596059	+26355	1321992	2484	351938	2126	246629975	3764461	65515351	Europe
UK	19119181	N/A	162008	N/A	17537214	N/A	1419959	264	279181	2366	485037295	7082586	68483074	Europe
Russia	16941656	+79863	356281	+744	14567976	+149060	2017399	2300	116008	2440	273400000	1872100	146039239	Europe
Germany	15828455	+104548	124716	+46	12119200	+85600	3584539	2494	187914	1481	104701826	1243010	84232506	Europe
Turkey	14353888	+27671	95549	+170	13744316	+50241	514023	1011	167181	1113	146094268	1701575	85858254	Asia
Italy	13026112	+35057	155887	+105	11853884	+38274	1016341	603	215975	2585	189780403	3146594	60312960	Europe
Spain	11100428	N/A	100431	N/A	9861014	N/A	1138983	851	237264	2147	471036328	10068084	46785101	Europe
Argentina	8936602	+2274	126768	+60	8737206	+7541	72628	1007	194739	2762	34494368	751674	45890064	South America
Iran	7089892	+5586	137948	+201	6730318	+11314	221626	3722	82640	1608	47726758	556305	85792424	Asia
Netherlands	6707202	+66799	21612	+4	4899139	+78003	1786451	161	389991	1257	21107399	1227292	17198353	Europe
Colombia	6071704	+1088	139091	+54	5900330	+1133	32283	342	117235	2686	33350542	643948	51790765	South America
Indonesia	5748725	+24867	150172	+254	5122602	+49080	475951	2771	20652	539	87174299	313165	278365371	Asia
Poland	5741739	+7697	112545	+10	5120633	+4715	508561	632	151990	2979	34076787	902046	37777204	Europe
Mexico	5563080	+8688	319824	+220	4842078	+9905	401178	4798	42401	2438	15225057	116044	131200388	North America
Japan	5338116	+63520	24789	+185	4652918	+73742	660409	1362	42424	197	39872476	316880	125828159	Asia
Ukraine	4809624	N/A	105505	N/A	4058020	N/A	646099	177	111093	2437	19521252	450902	43293825	Europe
S. Korea	4456264	+243612	8957	+161	969524	N/A	3477783	885	86794	174	15804065	307813	51343064	Asia
Vietnam	4434700	+142136	40813	+87	2681447	+65445	1712440	4208	44883	413	80124769	810940	98804778	Asia
South Africa	3684319	+1147	99543	N/A	3560217	+266	24559	546	60837	1644	23245373	383838	60560331	Africa
Israel	3673110	+3991	10282	+8	3609010	+9346	53818	437	393857	1103	41373364	4436346	9326000	Asia
Philippines	3667542	+870	57023	+144	3561726	+1433	48793	289	32739	509	28362486	253186	112022278	Asia
Czechia	3629515	+4567	38915	+6	3514349	+10620	76251	175	337873	3623	52841933	4919076	10742247	Europe
Malaysia	3622607	+27435	33228	+55	3281128	+30335	308251	379	109576	1005	50793505	1536399	33060108	Asia
Belgium	3586292	N/A	30259	N/A	3199370	+45413	356663	227	307201	2592	31867095	2729732	11674074	Europe
Peru	3527549	+3045	211108	+113	N/A	N/A	N/A	793	104549	6257	27647736	819420	33740598	South America
Australia	3364178	+19561	5416	+13	3123151	N/A	235611	111	129416	208	64004973	2462190	25995140	Australia/Oceania
Portugal	3332200	+10066	21199	+17	2832853	+11203	478148	82	328395	2089	37805639	3725822	10146927	Europe
Canada	3323488	+2697	36986	+30	3169777	+1645	116725	600	86784	966	58355310	1523791	38296146	North America
Chile	3188448	+19353	43077	+122	2255782	+39347	889589	1050	164430	2222	33519880	1728639	19390912	South America
Thailand	3026695	+21881	23238	+59	2770939	+21448	232518	687	43181	332	17270775	246397	70093239	Asia
Switzerland	2877753	N/A	13300	N/A	2328362	+34405	536091	134	328489	1518	18871544	2154142	8760585	Europe
Austria	2867760	+28463	15008	+22	2560176	+25279	292576	191	315401	1651	162656029	17889159	9092436	Europe
Romania	2768261	+3092	63961	+29	2582986	+12440	121314	777	145523	3362	21316352	1120568	19022813	Europe
Denmark	2727629	+10301	4868	+38	2452256	+24251	270505	37	468154	836	125881352	21605510	5826354	Europe
Greece	2508472	+9213	26194	+51	2310472	+19572	171806	376	242650	2534	67391555	6518942	10337806	Europe
Sweden	2455966	N/A	17479	N/A	2271489	+28314	166998	59	240670	1713	18174812	1781024	10204698	Europe
Iraq	2308191	+636	25050	+9	2255702	+1536	27439	88	55309	600	18056631	432676	41732407	Asia
Bangladesh	1947266	+529	29085	+8	1843338	+3340	74843	1316	11630	174	13526941	80789	167436076	Asia
Serbia	1925618	+1641	15437	+32	1846008	+6209	64173	94	221885	1779	8834066	1017932	8678442	Europe
Hungary	1800046	N/A	44286	N/A	1618574	N/A	137186	126	187129	4604	10836962	1126588	9619278	Europe
Jordan	1638228	N/A	13849	N/A	1546429	N/A	77950	694	157937	1335	16319298	1573293	10372699	Asia
Georgia	1625372	+1700	16366	+28	1554533	+7002	54473	N/A	408760	4116	15994475	4022405	3976346	Asia
Pakistan	1514258	+755	30265	+7	1454382	+886	29611	821	6639	133	26646219	116834	228068848	Asia
Slovakia	1509494	+6186	18687	+24	1335685	+11880	155122	216	276258	3420	6494440	1188572	5464070	Europe
Ireland	1315100	N/A	6531	N/A	1192686	+6061	115883	43	261445	1298	11426271	2271572	5030116	Europe
Norway	1308342	+3336	1664	N/A	88952	N/A	1217726	26	238218	303	9852076	1793827	5492210	Europe
Kazakhstan	1303707	+171	13626	N/A	1276577	+960	13504	528	68069	711	11575012	604355	19152655	Asia
Morocco	1161646	+60	16017	+2	1143345	+453	2284	293	30860	425	11237010	298516	37642881	Africa
Bulgaria	1101326	+515	35832	+21	854248	+868	211246	413	160523	5223	9269476	1351065	6860865	Europe
Lebanon	1078249	+1007	10152	+10	682977	N/A	385120	186	159168	1499	4795578	707911	6774266	Asia
Cuba	1072956	+482	8500	+1	1062032	+458	2424	23	94826	751	12920253	1141865	11315040	North America
Croatia	1063828	+875	15214	+20	1039042	+1580	9572	72	261841	3745	4547463	1119272	4062877	Europe
Tunisia	1005167	N/A	27922	N/A	966531	N/A	10714	157	83585	2322	4379844	364209	12025637	Africa
Nepal	977501	+54	11947	+2	959093	+538	6461	100	32568	398	5446075	181453	30013724	Asia
Lithuania	931824	+2989	8512	+14	843503	+1517	79809	77	350482	3202	7819597	2941141	2658695	Europe
Belarus	931002	+1662	6566	+16	923241	+2450	1195	N/A	98580	695	12550827	1328957	9444119	Europe
Slovenia	903686	+938	6363	+10	871959	+2287	25364	81	434586	3060	2578806	1240159	2079416	Europe
Bolivia	894967	+416	21461	+6	797168	+1348	76338	220	74958	1797	2669468	223582	11939530	South America
UAE	882884	+407	2301	N/A	843099	+1399	37484	N/A	87497	228	140192259	13893590	10090427	Asia
Uruguay	854375	+1205	7046	+6	833724	+2200	13605	110	244534	2017	5759420	1648428	3493887	South America
Ecuador	836216	N/A	35264	N/A	N/A	N/A	N/A	759	46222	1949	2470170	136538	18091426	South America
Singapore	832821	+13158	1078	+5	775913	+18172	55830	47	140504	182	23230460	3919184	5927372	Asia
Costa Rica	814583	N/A	8082	N/A	686840	N/A	119661	116	157499	1563	3712867	717879	5171992	North America
Guatemala	791944	N/A	17073	N/A	737485	N/A	37386	5	42877	924	3997718	216443	18470103	North America
Azerbaijan	789332	+374	9518	+18	775275	+1029	4539	N/A	76692	925	6599806	641245	10292171	Asia
Panama	757487	N/A	8111	N/A	745464	N/A	3912	26	171051	1832	5547860	1252780	4428439	North America
Saudi Arabia	747436	+317	9008	+2	727544	+668	10884	422	20924	252	41039706	1148888	35721240	Asia
Latvia	701540	+3992	5351	+3	580836	+6767	115353	59	378948	2890	6814874	3681163	1851283	Europe
Finland	671773	N/A	2387	N/A	46000	N/A	623386	39	120928	430	10008882	1801736	5555132	Europe
Sri Lanka	650140	+508	16331	+10	618141	+8319	15668	N/A	30150	757	6282076	291328	21563576	Asia
Paraguay	643879	+260	18471	+11	615041	+825	10367	131	88455	2538	2543377	349404	7279191	South America
Kuwait	623159	+670	2545	+1	614597	+928	6017	32	142395	582	7726633	1765573	4376274	Asia
Myanmar	598446	+1029	19389	+3	547444	+1579	31613	N/A	10877	352	7254327	131848	55020481	Asia
Palestine	578270	+325	5287	+3	565038	+1193	7945	56	109112	998	3078533	580879	5299787	Asia
Dominican Republic	575949	+66	4371	N/A	570146	+419	1432	31	52217	396	3143848	285027	11030017	North America
