Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	81286801	+29473	994696	+939	56542453	+80985	23749652	3628	243151	2975	968498551	2897048	334305317	North America
India	43001084	+2146	516162	+59	42450055	N/A	34867	8944	30647	368	780506974	556278	1403087655	Asia
Brazil	29478039	+45765	656003	+354	28063760	+94949	758276	8318	137024	3049	63776166	296454	215130305	South America
France	23758447	+108832	140613	+173	22394531	+66586	1223303	1783	362618	2146	246629975	3764235	65519286	Europe
UK	19911155	+91345	163248	+153	18473970	+44337	1273937	281	290704	2383	493513171	7205330	68492797	Europe
Germany	17843545	+275807	126830	+298	13931900	+217700	3784815	2494	211818	1506	104701826	1242902	84239806	Europe
Russia	17449438	+36519	362478	+576	15822031	+118009	1264929	2300	119483	2482	273400000	1872078	146040943	Europe
Turkey	14623028	+22345	96853	+118	14245809	+32364	280366	975	170267	1128	149492705	1740655	85883036	Asia
Italy	13563466	+72568	157314	+137	12351985	+55967	1054167	477	224894	2608	193843219	3214085	60310541	Europe
Spain	11260040	N/A	101416	N/A	10502784	N/A	655840	682	240673	2168	471036328	10067978	46785594	Europe
Argentina	8985836	+4681	127334	+39	8791259	+3470	67243	741	195764	2774	34925083	760872	45901385	South America
S. Korea	7629275	+400725	11052	+164	N/A	N/A	N/A	1244	148591	215	15804065	307806	51344266	Asia
Netherlands	7327235	+60263	21736	+11	5767758	+54999	1537741	162	426017	1264	21107399	1227218	17199386	Europe
Iran	7133139	+3010	139289	+109	6798350	+6496	195500	2360	83116	1623	48393373	563882	85821796	Asia
Vietnam	6552918	N/A	41545	N/A	3383142	N/A	3128231	4269	66306	420	81738760	827075	98828683	Asia
Colombia	6078487	+626	139361	+26	5910525	+743	28601	342	117333	2690	33595864	648499	51805575	South America
Indonesia	5927550	+13018	152975	+230	5494606	+32262	279969	2771	21288	549	89786073	322456	278444349	Asia
Japan	5855240	+50781	26442	+180	5284834	+57499	543964	1140	46538	210	41334038	328523	125817627	Asia
Poland	5851147	+14480	113773	+151	5207943	+8787	529431	464	154890	3012	34766669	920336	37776076	Europe
Mexico	5613870	+6025	321375	+260	4906809	+6129	385686	4798	42776	2449	15376547	117166	131237376	North America
Ukraine	4917757	+5229	107340	+71	N/A	N/A	N/A	177	113609	2480	19521252	450976	43286684	Europe
Malaysia	3900433	+28298	34099	+105	3567003	+33009	299331	374	117940	1031	52837322	1597672	33071438	Asia
Israel	3737352	+4766	10405	+6	3686283	+5020	40664	308	400745	1116	41373364	4436346	9326000	Asia
Australia	3715615	+58684	5638	+22	3378144	N/A	331833	101	142891	217	64885144	2495273	26003221	Australia/Oceania
Czechia	3707588	+10715	39248	+12	3592367	+3595	75973	121	345123	3653	53164828	4948886	10742788	Europe
South Africa	3698803	+1980	99767	+40	3584293	+5416	14743	546	61056	1647	23485052	387665	60580760	Africa
Philippines	3671293	N/A	57625	N/A	3567412	N/A	46256	289	32761	514	28545001	254725	112062132	Asia
Belgium	3669964	+11880	30472	+27	3409783	+7649	229709	177	314332	2610	32234060	2760841	11675449	Europe
Peru	3537488	N/A	211619	N/A	N/A	N/A	N/A	658	104805	6270	28001696	829602	33753151	South America
Portugal	3380263	N/A	21285	N/A	2876177	N/A	482801	70	333158	2098	37805639	3726119	10146118	Europe
Canada	3379712	+5936	37035	+42	3227286	+4762	115391	510	88231	967	58845250	1536222	38305178	North America
Chile	3336614	+13290	44062	+23	2610808	+30176	681744	896	172031	2272	34301341	1768531	19395390	South America
Austria	3283855	+58583	15289	+28	2851667	+35251	416899	221	361108	1681	168325419	18509833	9093838	Europe
Thailand	3250642	+23945	23921	+70	3004752	+23339	221969	687	46373	341	17270775	246380	70098011	Asia
Switzerland	3192119	+18268	13441	+3	2566023	+10468	612655	144	364301	1534	19553805	2231581	8762312	Europe
Denmark	2835490	+9086	5257	+25	2665392	+19321	164841	26	486620	902	126399266	21692332	5826910	Europe
Romania	2802848	+3913	64518	+45	2606660	N/A	131670	516	147368	3392	21644010	1138001	19019326	Europe
Greece	2708610	+23694	26730	+44	2459576	+15999	222304	354	262045	2586	70038378	6775882	10336422	Europe
Sweden	2472068	N/A	17904	N/A	2391780	+2485	62384	44	242207	1754	18342988	1797202	10206416	Europe
Iraq	2314575	+632	25116	+7	2269781	+1012	19678	79	55429	601	18189734	435608	41757127	Asia
Bangladesh	1950124	+182	29112	N/A	1865600	+1192	55412	1264	11644	174	13678632	81673	167480871	Asia
Serbia	1947591	+2449	15633	+14	1890523	+2633	41435	56	224442	1802	8973177	1034076	8677484	Europe
Hungary	1819264	+4902	44831	+178	1663907	+13264	110526	101	189140	4661	10962084	1139674	9618611	Europe
Jordan	1680179	N/A	13959	N/A	1647266	N/A	18954	694	161938	1345	16499905	1590281	10375464	Asia
Georgia	1638790	+1099	16595	+10	1591180	+800	31015	N/A	412156	4174	16120727	4054369	3976137	Asia
Slovakia	1597668	+11528	19009	+30	1451913	+12734	126746	217	292391	3479	6654224	1217799	5464142	Europe
Pakistan	1520120	+493	30317	+4	1472291	+1003	17512	567	6662	133	26998115	118316	228186231	Asia
Norway	1368165	+4759	1826	N/A	N/A	N/A	N/A	24	249058	332	9852076	1793449	5493367	Europe
Ireland	1365467	+5452	6638	+2	1248935	+3482	109894	44	271377	1319	11577799	2301007	5031622	Europe
Kazakhstan	1304645	+85	13650	+2	1282342	+480	8653	528	68096	712	11575012	604162	19158790	Asia
Morocco	1162288	+52	16048	+2	1145572	+86	668	293	30867	426	11237010	298421	37654831	Africa
Bulgaria	1119474	+1949	36222	+26	889474	+3565	193778	278	163202	5281	9422447	1373646	6859444	Europe
Lebanon	1086382	+536	10226	+7	1009978	+3710	66178	186	160389	1510	4795578	707998	6773435	Asia
Cuba	1078525	+559	8503	N/A	1067372	+612	2650	23	95319	751	12920253	1141884	11314852	North America
Croatia	1077365	+2659	15383	+10	1051742	+803	10240	44	265218	3787	4599072	1132166	4062189	Europe
Tunisia	1029762	N/A	28065	N/A	983630	N/A	18067	74	85607	2333	4475031	372020	12029014	Africa
Nepal	978085	+41	11950	N/A	961561	+213	4574	100	32572	398	5496809	183056	30028061	Asia
Singapore	975607	+11278	1170	+11	932107	+10871	42330	23	164559	197	23396045	3946284	5928627	Asia
Lithuania	975151	+5954	8676	+10	887641	N/A	78834	68	366920	3265	7922010	2980816	2657665	Europe
Belarus	944885	+1858	6688	+7	928536	N/A	9661	N/A	100051	708	12669715	1341558	9444034	Europe
Slovenia	925939	+2901	6424	+5	890833	+1856	28682	61	445286	3089	2593190	1247071	2079424	Europe
Bolivia	898464	+494	21476	+1	811581	+1566	65407	220	75224	1798	2682016	224551	11943882	South America
UAE	886301	+318	2302	N/A	852991	+1073	31008	N/A	87807	228	143496234	14216428	10093691	Asia
Uruguay	868952	+1670	7116	+6	852383	+1685	9453	63	248683	2037	5845597	1672936	3494215	South America
Ecuador	849699	N/A	35348	N/A	N/A	N/A	N/A	759	46948	1953	2470170	136483	18098750	South America
Costa Rica	827346	+1095	8202	+10	743751	+4025	75393	90	159927	1585	3854668	745114	5173262	North America
Guatemala	809586	+2133	17178	+8	771331	+2877	21077	5	43811	930	4099105	221823	18479171	North America
Azerbaijan	791077	+115	9633	+6	779987	+159	1457	N/A	76843	936	6646110	645588	10294666	Asia
Finland	778617	+11397	2763	+44	46000	N/A	729854	38	140156	497	10185644	1833478	5555366	Europe
Hong Kong	761550	N/A	4568	N/A	13232	N/A	743750	111	100198	601	36260319	4770801	7600468	Asia
Panama	760105	N/A	8143	N/A	749576	N/A	2386	16	171570	1838	5603325	1264774	4430296	North America
Latvia	755821	+5138	5470	+20	667949	+20053	82402	44	408394	2956	6937407	3748497	1850717	Europe
Saudi Arabia	749171	+127	9023	+2	731440	+221	8708	229	20964	252	41304165	1155812	35736063	Asia
Sri Lanka	657134	+320	16416	+1	619193	+120	21525	N/A	30471	761	6368159	295287	21566023	Asia
Paraguay	646495	+212	18555	+3	621615	+375	6325	75	88785	2548	2563855	352101	7281584	South America
Kuwait	626609	+225	2552	N/A	620648	+507	3409	9	143127	583	7763313	1773256	4378000	Asia
Myanmar	607399	+489	19417	+3	560887	+1214	27095	N/A	11038	353	7437213	135147	55030431	Asia
Palestine	580165	+242	5326	+5	571646	+906	3193	46	109402	1004	3078533	580523	5303036	Asia
Dominican Republic	576904	+116	4375	+1	572092	+64	437	20	52289	397	3179742	288203	11032987	North America
Bahrain	541184	+1196	1464	N/A	528300	+1785	11420	6	300312	812	9523578	5284799	1802070	Asia
Estonia	536924	+2137	2371	+4	438511	+4939	96042	16	404294	1785	3188655	2401000	1328053	Europe
Venezuela	518750	N/A	5661	N/A	510005	N/A	3084	230	18331	200	3359014	118698	28298841	South America
Moldova	508917	+339	11368	+11	492462	+828	5087	78	126659	2829	3100469	771643	4018009	Europe
Libya	500626	+129	6361	+7	485405	+814	8860	116	71210	905	2459258	349812	7030236	Africa
