Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	81832612	+6241	1008198	+39	65676514	+150540	15147900	1822	244714	3015	985099239	2945866	334400597	North America
India	43028863	+732	521388	+14	42493773	N/A	13702	8944	30653	371	790764883	563321	1403754381	Asia
Brazil	29999816	+4178	660269	+77	28784928	+26252	554619	8318	139401	3068	63776166	296351	215204501	South America
France	25997852	+102266	142506	+31	23390522	+18785	2464824	1486	396754	2175	254106036	3877920	65526369	Europe
Germany	21646375	+57761	130563	+34	16972700	+86500	4543112	2494	256921	1550	104701826	1242708	84252947	Europe
UK	21216874	N/A	165570	N/A	19075703	N/A	1975601	356	309689	2417	505708151	7381491	68510300	Europe
Russia	17896866	+16828	369708	+304	16965027	+35695	562131	2300	122544	2531	273400000	1872038	146044010	Europe
Turkey	14894731	+9021	98157	+38	14570521	+10312	226053	975	173340	1142	154495767	1797975	85927644	Asia
Italy	14845815	+53588	159784	+118	13402015	+48486	1284016	489	246174	2650	202264141	3353954	60306185	Europe
S. Korea	13874216	+234301	17235	+306	N/A	N/A	N/A	1128	270208	336	15804065	307793	51346429	Asia
Spain	11551574	N/A	102541	N/A	10918903	N/A	530130	420	246900	2192	471036328	10067787	46786482	Europe
Vietnam	9818328	+50730	42600	+37	7787962	+74608	1987766	1973	99304	431	84572527	855376	98871712	Asia
Argentina	9041124	+484	128065	+6	8867907	+1490	45152	487	196881	2789	35455227	772079	45921761	South America
Netherlands	7910315	+12387	22013	+7	6551189	+68297	1337113	135	459869	1280	21107399	1227086	17201245	Europe
Iran	7167646	+1275	140315	+38	6886942	+4912	140389	1667	83466	1634	49358909	574778	85874667	Asia
Japan	6653841	+47377	28248	+48	6164792	+42392	460801	518	52893	225	43717117	347517	125798669	Asia
Colombia	6085926	+308	139660	+10	5919072	+383	27194	342	117416	2694	33971965	655422	51832231	South America
Indonesia	6019981	+1933	155288	+47	5768703	+4067	95990	2771	21609	557	92326680	331411	278586508	Asia
Poland	5969621	+557	115345	+2	5333558	+1381	520718	268	158035	3054	35732269	945948	37774045	Europe
Mexico	5665376	+3303	323212	+85	4963000	+3035	379164	4798	43147	2462	15595137	118771	131303955	North America
Ukraine	4968881	N/A	107980	N/A	N/A	N/A	N/A	177	114824	2495	19521252	451110	43273831	Europe
Australia	4680816	+47538	6384	+17	4170493	+43676	503939	103	179908	245	66861156	2569827	26017767	Australia/Oceania
Malaysia	4246467	+12380	35099	+30	4018421	+20635	192947	253	128324	1061	56788636	1716092	33091831	Asia
Israel	3943153	+8670	10530	+15	3846922	+11118	85701	265	422813	1129	41373364	4436346	9326000	Asia
Austria	3887355	+13907	15985	+28	3572230	+35038	299140	224	427353	1757	176843630	19441142	9096360	Europe
Belgium	3851048	N/A	30826	N/A	3540753	+7738	279469	164	329772	2640	32872543	2814930	11677924	Europe
Czechia	3830621	+2589	39715	+7	3733697	+8247	57209	92	356544	3697	54752294	5096194	10743762	Europe
South Africa	3722954	+889	100050	+4	3611123	+1846	11781	546	61417	1651	23909698	394435	60617532	Africa
Thailand	3711595	+26840	25418	+97	3427054	+23412	259123	1496	52942	363	17270775	246350	70106601	Asia
Philippines	3679629	+690	59343	+19	3584319	+1790	35967	289	32815	529	29006676	258679	112133868	Asia
Portugal	3604114	N/A	21693	N/A	N/A	N/A	N/A	61	355272	2138	40088192	3951654	10144662	Europe
Peru	3548088	N/A	212299	N/A	N/A	N/A	N/A	421	105048	6286	28860933	854487	33775745	South America
Canada	3499226	+3077	37690	+10	3295953	+1851	165583	386	91312	984	59464465	1551729	38321435	North America
Switzerland	3490876	N/A	13715	N/A	2850404	N/A	626757	136	398255	1565	20324729	2318740	8765420	Europe
Chile	3486653	+4478	56750	+61	3090745	+23080	339158	524	179692	2925	35713746	1840587	19403451	South America
Greece	3077711	+10357	27684	+61	2811268	+26657	238759	356	297826	2679	74854140	7243531	10333930	Europe
Denmark	2919428	+1955	5762	+17	2855172	+4713	58494	22	500939	989	126843098	21764762	5827911	Europe
Romania	2860094	+1429	65090	+11	2606660	N/A	188344	385	150428	3423	22164873	1165772	19013049	Europe
Sweden	2487852	N/A	18331	N/A	2437546	+2127	31975	25	243680	1795	18417910	1803996	10209507	Europe
Iraq	2320260	+134	25173	+3	2284245	+708	10842	45	55506	602	18354771	439092	41801625	Asia
Serbia	1980722	+993	15825	+7	1931773	+2440	33124	30	228305	1824	9221892	1062949	8675762	Europe
Bangladesh	1951770	+56	29122	N/A	1883510	+596	39138	1283	11648	174	13844874	82626	167561502	Asia
