Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	50270136	N/A	812205	N/A	39742867	N/A	9715064	14377	150608	2433	766393274	2296094	333781277	North America
India	34656822	N/A	473952	N/A	34089137	+9525	93733	8944	24765	339	650660144	464950	1399420665	Asia
Brazil	22157726	N/A	616067	N/A	21386271	N/A	155388	8318	103193	2869	63776166	297017	214722227	South America
UK	10560341	N/A	145826	N/A	9300698	N/A	1113817	901	154399	2132	370541215	5417544	68396535	Europe
Russia	9895597	+30752	284823	+1179	8602067	+36976	1008707	2300	67767	1951	229200000	1569604	146024075	Europe
Turkey	8943837	N/A	78215	N/A	8486689	N/A	378933	1128	104438	913	110159341	1286342	85637694	Asia
France	7987591	N/A	119899	N/A	7211059	N/A	656633	2351	121985	1831	170480237	2603534	65480330	Europe
Germany	6297345	+26584	104639	+278	5225700	+55300	967006	4636	74819	1243	85782441	1019187	84167530	Europe
Iran	6144644	+3309	130446	+90	5943467	+6492	70731	3185	71841	1525	39632983	463376	85531007	Asia
Argentina	5346242	N/A	116703	N/A	5205534	N/A	24005	687	116757	2549	26501999	578781	45789314	South America
Spain	5246766	N/A	88237	N/A	4937402	N/A	221127	814	112157	1886	66213858	1415409	46780712	Europe
Italy	5134318	N/A	134386	N/A	4759038	N/A	240894	776	85098	2227	123331813	2044134	60334494	Europe
Colombia	5084466	N/A	128874	N/A	4925444	N/A	30148	342	98424	2495	28431055	550361	51658961	South America
Indonesia	4258340	+264	143909	+16	4109068	+351	5363	N/A	15336	518	56927434	205024	277662471	Asia
Mexico	3905319	+3304	295601	+289	3262422	+2338	347296	4798	29841	2259	11976549	91514	130871191	North America
Poland	3732589	+28542	86796	+592	3194731	+10055	451062	2026	98779	2297	25210982	667182	37787245	Europe
Ukraine	3519981	+9371	89436	+450	3109423	+26804	321122	177	81185	2063	16160332	372724	43357380	Europe
South Africa	3051222	N/A	90002	N/A	2864648	N/A	96572	546	50535	1491	19838883	328575	60378511	Africa
Philippines	2835593	+370	49761	+171	2773322	+859	12510	899	25393	446	24390103	218417	111667580	Asia
Netherlands	2808892	+18062	19842	+72	2193044	+11736	596006	633	163411	1154	19205114	1117280	17189161	Europe
Malaysia	2667999	N/A	30718	N/A	2576870	N/A	60411	437	80948	932	38569695	1170223	32959271	Asia
Czechia	2282212	+19482	34034	+61	1963455	+535	284723	1040	212547	3170	45056810	4196238	10737430	Europe
Peru	2246633	N/A	201450	N/A	N/A	N/A	N/A	997	66807	5990	20623407	613265	33628881	South America
Thailand	2152384	+3618	21033	+38	2067149	+5775	64202	1369	30726	300	14913135	212890	70050769	Asia
Iraq	2086192	+606	23931	+12	2052656	+744	9605	97	50255	576	16488181	397187	41512393	Asia
Belgium	1879784	+10878	27360	+41	1395359	+8063	457065	817	161191	2346	25457760	2182997	11661837	Europe
Canada	1815215	N/A	29827	N/A	1756185	N/A	29203	497	47499	780	49518440	1295759	38215765	North America
Romania	1789539	+1279	57360	+86	1707968	+2072	24211	807	93920	3010	16277670	854298	19053849	Europe
Chile	1776599	+1387	38541	+6	1672907	+2249	65151	685	91809	1992	26103609	1348950	19351055	South America
Japan	1728113	+98	18367	+2	1708924	+105	822	27	13724	146	28257592	224406	125921894	Asia
Bangladesh	1578288	+277	28016	+6	1543204	+296	7068	1394	9449	168	11041406	66101	167037400	Asia
Vietnam	1352122	+14599	26930	+230	1036393	+24737	288799	7506	13714	273	70427988	714338	98592025	Asia
Israel	1347877	+403	8210	N/A	1333483	N/A	6184	106	144529	880	35400109	3795851	9326000	Asia
Pakistan	1287703	+310	28793	+9	1247066	+283	11844	783	5672	127	22338650	98398	227024140	Asia
Serbia	1268787	+1675	12036	+41	1218981	+2608	37770	194	146057	1386	6927098	797413	8686960	Europe
Sweden	1222892	N/A	15151	N/A	1164019	+495	43722	54	120016	1487	13934770	1367574	10189412	Europe
Austria	1212999	+5663	12979	+58	1109972	+11685	90048	638	133591	1429	113690976	12521082	9079964	Europe
Portugal	1172420	N/A	18572	N/A	1093264	N/A	60584	133	115462	1829	21858506	2152673	10154125	Europe
Hungary	1168728	+6849	36048	+213	948385	+9549	184295	607	121424	3745	8701776	904060	9625218	Europe
Switzerland	1085677	+5587	11708	+4	879693	+1523	194276	250	124145	1339	12890712	1474030	8745217	Europe
Jordan	988159	N/A	11817	N/A	911905	N/A	64437	1190	95492	1142	12511426	1209057	10348087	Asia
Greece	978402	N/A	18815	N/A	889506	N/A	70081	697	94530	1818	38884429	3756904	10350125	Europe
Kazakhstan	977031	+704	12802	+11	944485	+1244	19744	528	51159	670	11575012	606083	19098054	Asia
Cuba	963269	N/A	8311	N/A	954427	N/A	531	18	85119	734	11232726	992578	11316715	North America
Morocco	950801	N/A	14788	N/A	933416	N/A	2597	347	25330	394	10516973	280180	37536525	Africa
Georgia	875806	+4226	12519	+53	817963	+4091	45324	N/A	220151	3147	11934934	3000084	3978200	Asia
Nepal	823357	+255	11547	+2	805571	+366	6239	114	27550	386	4688348	156874	29886126	Asia
Slovakia	748969	+9425	15095	+91	616734	+10211	117140	629	137088	2763	4783316	875515	5463429	Europe
UAE	742438	N/A	2149	N/A	737481	N/A	2808	N/A	73791	214	103192728	10256325	10061375	Asia
Tunisia	718696	N/A	25407	N/A	691923	N/A	1366	53	59913	2118	3207178	267363	11995584	Africa
Bulgaria	707885	N/A	29163	N/A	579059	N/A	99663	627	102987	4243	6767295	984547	6873511	Europe
Lebanon	681332	N/A	8795	N/A	637834	N/A	34703	186	100467	1297	4795578	707139	6781663	Asia
Belarus	667893	+1756	5210	+17	657109	+2108	5574	N/A	70715	552	10574547	1119607	9444872	Europe
Croatia	639778	+4751	11383	+54	601174	+2583	27221	320	157232	2797	3535311	868840	4069001	Europe
Guatemala	620435	N/A	15999	N/A	603346	N/A	1090	5	33739	870	3158756	171770	18389401	North America
Ireland	602726	N/A	5707	N/A	465420	N/A	131599	117	120144	1138	9178076	1829501	5016709	Europe
Azerbaijan	599713	+1210	8019	+15	569238	+1853	22456	N/A	58395	781	5633054	548498	10269971	Asia
Sri Lanka	569743	+572	14533	+28	543467	+356	11743	N/A	26448	675	5695096	264374	21541794	Asia
Costa Rica	567706	N/A	7324	N/A	556781	N/A	3601	73	110006	1419	2715029	526098	5160692	North America
Saudi Arabia	550043	+46	8849	+2	539205	+64	1989	29	15455	249	31825816	894252	35589310	Asia
Bolivia	546155	+1489	19264	+17	499564	+782	27327	220	45892	1619	2593083	217891	11900803	South America
Ecuador	529456	N/A	33488	N/A	443880	N/A	52088	759	29371	1858	2047260	113571	18026241	South America
Denmark	529210	+6629	2972	+7	459462	+4417	66776	66	90908	511	96901673	16645748	5821407	Europe
Myanmar	524638	N/A	19146	N/A	500701	N/A	4791	N/A	9551	349	5698201	103732	54931930	Asia
S. Korea	489484	+7174	4020	+63	413740	+2382	71724	840	9536	78	15804065	307877	51332370	Asia
Lithuania	484537	+1982	6901	+10	449424	+1490	28212	130	181620	2587	6285547	2356025	2667861	Europe
Panama	479563	N/A	7379	N/A	469189	N/A	2995	20	108697	1673	4281343	970406	4411910	North America
Paraguay	463479	N/A	16484	N/A	446304	N/A	691	55	63859	2271	1967048	271022	7257889	South America
Venezuela	435825	N/A	5208	N/A	423293	N/A	7324	681	15389	184	3359014	118607	28320539	South America
Slovenia	434679	+1847	5354	+18	403331	+3125	25994	259	209046	2575	1977557	951047	2079347	Europe
Palestine	432602	N/A	4555	N/A	424419	N/A	3628	58	82074	864	2765962	524763	5270874	Asia
Kuwait	413555	N/A	2465	N/A	410768	N/A	322	3	94832	565	5476384	1255790	4360909	Asia
Dominican Republic	409002	N/A	4212	N/A	403257	N/A	1533	154	37170	383	2486340	225957	11003584	North America
Uruguay	401340	N/A	6137	N/A	393099	N/A	2104	17	114965	1758	4167966	1193929	3490967	South America
Mongolia	384288	+310	2023	+3	313256	N/A	69009	192	114583	603	4030048	1201639	3353792	Asia
Honduras	378397	+46	10416	N/A	122374	+172	245607	52	37354	1028	1124574	111015	10129903	North America
Libya	376378	+509	5518	+4	359733	+1439	11127	N/A	53730	788	1938107	276677	7004957	Africa
Ethiopia	372462	N/A	6808	N/A	349846	N/A	15808	192	3129	57	3908170	32833	119032081	Africa
Moldova	367339	N/A	9270	N/A	351581	N/A	6488	234	91366	2306	2241776	557582	4020535	Europe
Egypt	364922	N/A	20821	N/A	303368	N/A	40733	90	3472	198	3693367	35143	105093906	Africa
Armenia	341468	+410	7728	+10	322814	+408	10926	N/A	114927	2601	2419770	814415	2971174	Asia
Oman	304654	+23	4113	N/A	300057	+7	484	1	57567	777	25000000	4723965	5292165	Asia
Norway	294754	N/A	1134	+42	88952	N/A	204668	90	53768	207	8744427	1595141	5481916	Europe
Bosnia and Herzegovina	279820	+641	12854	+40	192218	N/A	74748	N/A	86056	3953	1420452	436849	3251585	Europe
Bahrain	277894	N/A	1394	N/A	276165	N/A	335	1	155597	781	7530988	4216726	1785980	Asia
Singapore	270588	N/A	771	N/A	261638	N/A	8179	43	45737	130	21098774	3566272	5916198	Asia
Latvia	259215	+796	4325	+25	243751	N/A	11139	124	139639	2330	5411804	2915342	1856319	Europe
Kenya	255544	N/A	5337	N/A	248452	N/A	1755	2	4607	96	2863425	51627	55464057	Africa
Qatar	244708	+163	611	N/A	241797	+118	2300	12	87153	218	3038598	1082197	2807805	Asia
Estonia	226304	+469	1836	+10	210213	+1033	14255	30	170434	1383	2378427	1791236	1327813	Europe
Australia	222260	+1701	2072	+7	202159	N/A	18029	78	8574	80	49250521	1899861	25923219	Australia/Oceania
North Macedonia	217775	N/A	7674	N/A	204474	N/A	5627	N/A	104536	3684	1488688	714598	2083252	Europe
Nigeria	214896	N/A	2980	N/A	207495	N/A	4421	11	1007	14	3580510	16775	213439149	Africa
Algeria	211859	N/A	6114	N/A	145511	N/A	60234	20	4710	136	230861	5132	44983240	Africa
Zambia	210436	+62	3668	N/A	206501	+12	267	11	11006	192	2757015	144201	19119260	Africa
Albania	202295	N/A	3122	N/A	192967	N/A	6206	23	70405	1087	1409310	490485	2873297	Europe
Finland	197476	+1296	1395	+11	46000	N/A	150081	60	35562	251	8105751	1459695	5553045	Europe
Botswana	195552	N/A	2420	N/A	192452	N/A	680	1	80823	1000	1905739	787658	2419501	Africa
Uzbekistan	194904	+201	1425	+1	191602	+325	1877	23	5705	42	1377915	40334	34163034	Asia
Kyrgyzstan	183744	+32	2762	N/A	178777	+67	2205	131	27514	414	1856320	277970	6678128	Asia
Montenegro	158838	N/A	2334	N/A	154495	N/A	2009	60	252854	3715	920043	1464617	628180	Europe
Afghanistan	157542	+33	7317	+1	141490	+16	8735	1124	3921	182	799864	19906	40181243	Asia
Mozambique	152120	N/A	1941	N/A	149575	N/A	604	8	4680	60	989429	30438	32506041	Africa
Zimbabwe	145632	N/A	4718	N/A	129006	N/A	11908	12	9598	311	1643376	108313	15172407	Africa
Cyprus	138157	N/A	602	N/A	124370	N/A	13185	45	113249	493	9477138	7768528	1219940	Asia
Ghana	131246	N/A	1228	N/A	129326	N/A	692	5	4101	38	1933408	60419	32000049	Africa
Namibia	130051	N/A	3574	N/A	125540	N/A	937	1	49891	1371	803205	308131	2606699	Africa
Uganda	127755	+47	3261	+3	97697	+8	26797	100	2673	68	1998517	41807	47803211	Africa
Cambodia	120300	+14	2971	+4	116655	+13	674	N/A	7056	174	2725832	159873	17049958	Asia
El Salvador	119803	N/A	3790	+1	102982	N/A	13031	246	18338	580	1440742	220531	6533059	North America
Cameroon	107148	N/A	1804	N/A	102716	N/A	2628	152	3898	66	1751774	63724	27489925	Africa
Rwanda	100449	N/A	1343	N/A	45522	N/A	53584	N/A	7490	100	3578143	266808	13410933	Africa
China	99371	+74	4636	N/A	93602	+48	1133	22	69	3	160000000	111163	1439323776	Asia
Maldives	92501	N/A	255	N/A	90401	N/A	1845	23	166922	460	1778702	3209744	554157	Asia
Luxembourg	91908	N/A	888	N/A	85792	N/A	5228	23	143485	1386	3718438	5805143	640542	Europe
Jamaica	91554	N/A	2411	N/A	63223	N/A	25920	9	30726	809	678695	227775	2979671	North America
