Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	48999737	+27187	798551	+306	38799986	+12292	9401200	12259	146830	2393	747324581	2239391	333717757	North America
India	34555431	+10549	467468	+488	33967962	+10264	120001	8944	24701	334	635924763	454564	1398976181	Asia
Brazil	22055608	+12191	613697	+281	21275209	+10496	166702	8318	102741	2859	63776166	297086	214672763	South America
UK	10020750	+46991	144433	+147	8874965	+40777	1001352	928	146535	2112	357537501	5228313	68384867	Europe
Russia	9468189	+33796	269057	+1238	8164826	+38450	1034306	2300	64841	1843	222300000	1522373	146022030	Europe
Turkey	8676639	+24467	75840	+222	8208159	+29639	392640	1405	101353	886	105892796	1236950	85607956	Asia
France	7516746	+33464	118777	+43	7080598	+8917	317371	1499	114802	1814	161863693	2472122	65475608	Europe
Iran	6097672	+4850	129376	+96	5830653	+11628	137643	3368	71321	1513	38219247	447031	85495760	Asia
Germany	5623047	+76132	100796	+315	4744400	+31500	777851	4070	66815	1198	81975529	974058	84158769	Europe
Argentina	5322127	+2260	116480	+22	5186639	+1666	19008	604	116265	2545	26029617	568634	45775729	South America
Spain	5121100	+9258	87931	+27	4912818	+1457	120351	571	109472	1880	66213858	1415427	46780120	Europe
Colombia	5057897	+2644	128290	+54	4897986	+2055	31621	342	97943	2484	27891010	540092	51641190	South America
Italy	4968336	+13759	133486	+71	4668257	+6404	166593	588	82343	2212	116669093	1933612	60337397	Europe
Indonesia	4254815	+372	143782	+16	4102993	+293	8040	N/A	15329	518	53126370	191400	277567698	Asia
Mexico	3872263	+4287	293186	+336	3232062	+2599	347015	4798	29598	2241	11760622	89895	130826805	North America
Poland	3434331	+28187	82186	+497	2934027	+14449	418118	1657	90883	2175	24006731	635290	37788599	Europe
Ukraine	3384404	+16943	83541	+628	2852452	+26811	448411	177	78043	1926	15700772	362053	43365949	Europe
South Africa	2952500	+2465	89771	+114	2843961	+4193	18768	546	48920	1487	19318050	320079	60353996	Africa
Philippines	2829524	+881	47875	+193	2763726	+808	17923	1170	25350	429	24070626	215648	111619756	Asia
Malaysia	2608979	+6144	30195	+48	2510029	+6602	68755	516	79190	917	37192890	1128916	32945676	Asia
Netherlands	2534137	+22184	19158	+60	2074508	+5697	440471	531	147437	1115	19205114	1117361	17187921	Europe
Peru	2229741	+1529	200987	+26	N/A	N/A	N/A	929	66334	5979	20109465	598250	33613818	South America
Thailand	2088327	+6335	20579	+37	1987089	+7218	80659	1595	29814	294	14913135	212908	70045042	Asia
Iraq	2077665	+743	23748	+23	2038189	+1182	15728	129	50085	572	16254124	391829	41482728	Asia
Czechia	2062140	+18016	32595	+91	1793434	+452	236111	848	192063	3036	43086598	4012991	10736780	Europe
Canada	1777814	+2868	29600	+20	1725101	+3674	23113	480	46534	775	48388185	1266543	38204927	North America
Romania	1771887	+2104	55874	+177	1663637	+4704	52376	1341	92973	2932	15874280	832944	19058033	Europe
Chile	1751769	+2670	38218	+43	1646433	+1143	67118	669	90551	1976	25262226	1305833	19345681	South America
Japan	1726704	+76	18352	+1	1707291	+109	1061	58	13711	146	27637078	219456	125934533	Asia
Belgium	1659025	+23350	26743	+38	1295650	+4707	336632	655	142281	2294	24005887	2058791	11660187	Europe
Bangladesh	1575185	+237	27970	+9	1539553	+360	7662	1377	9433	168	10801869	64688	166983646	Asia
Israel	1341305	N/A	8182	+4	1327046	N/A	6077	128	143824	877	31188024	3344202	9326000	Asia
Pakistan	1283223	+363	28690	+13	1240995	+1000	13538	1002	5656	126	21796915	96071	226883280	Asia
Serbia	1244169	+2677	11433	+48	1171640	+3838	61096	210	143204	1316	6743631	776191	8688108	Europe
Sweden	1198848	+2105	15113	N/A	1154394	+1263	29341	24	117680	1484	13586095	1333624	10187351	Europe
Vietnam	1168228	+12450	24407	+164	942888	+5627	200933	5475	11853	248	67004193	679808	98563340	Asia
Portugal	1133241	+3150	18385	+15	1065331	+1642	49525	103	111593	1810	20844492	2052614	10155095	Europe
Austria	1108889	+13592	12233	+53	944173	+12999	152483	619	122147	1348	108603828	11963036	9078283	Europe
Hungary	1057017	+12165	33704	+185	857451	+1121	165862	680	109808	3501	8249524	857003	9626018	Europe
Switzerland	978335	+7390	11475	+14	853154	+2020	113706	172	111897	1312	12159978	1390801	8743145	Europe
Kazakhstan	967369	+946	12622	+19	930512	+1392	24235	528	50672	661	11575012	606317	19090692	Asia
Cuba	961698	+240	8299	N/A	952206	+262	1193	36	84979	733	10979501	970183	11316941	North America
Morocco	949378	+115	14770	N/A	931548	+115	3060	347	25302	394	10379159	276614	37522185	Africa
Jordan	932539	+4283	11459	+30	874583	+2566	46497	993	90146	1108	11939884	1154195	10344769	Asia
Greece	908222	+6561	17693	+81	810420	+6037	80109	621	87736	1709	34473761	3330223	10351786	Europe
Georgia	826714	+4331	11736	+57	768559	+4804	46419	N/A	207798	2950	11344660	2851528	3978450	Asia
Nepal	820285	+281	11516	+3	801420	+298	7349	N/A	27463	386	4591660	153727	29868922	Asia
UAE	741720	+77	2145	N/A	736511	+88	3064	N/A	73748	213	99976538	9940537	10057458	Asia
Tunisia	716861	+159	25357	+1	690463	+127	1041	58	59781	2115	3157961	263349	11991532	Africa
Bulgaria	684922	+2370	27891	+113	551853	+3008	105178	797	99622	4057	6433278	935720	6875216	Europe
