Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	81923308	+29696	1010079	+698	65974970	+127988	14938259	1767	244970	3020	987410535	2952590	334421770	North America
India	43030925	+1086	521518	+72	42497567	+1198	11840	8944	30651	371	791546038	563818	1403902542	Asia
Brazil	30040129	+27331	660586	+205	28892353	+57867	487190	8318	139578	3069	63776166	296329	215220989	South America
France	26228521	+203021	142784	+129	23615792	+108683	2469945	1541	400265	2179	254106036	3877827	65527943	Europe
Germany	21959130	+190104	131183	+470	17407700	+251100	4420247	2494	260624	1557	104701826	1242665	84255868	Europe
UK	21433554	+52477	168862	+374	19336346	+73405	1928346	351	312834	2465	507870986	7412640	68514189	Europe
Russia	17926104	+13947	370311	+316	17035336	+37459	520457	2300	122744	2536	273400000	1872030	146044692	Europe
Italy	14966665	+88780	160823	+195	13531567	+88637	1274275	471	248182	2667	204235935	3386704	60305218	Europe
Turkey	14919591	+12213	98234	+37	14598047	+13568	223310	975	173610	1143	154964245	1803219	85937557	Asia
S. Korea	14267401	+265995	17662	+209	N/A	N/A	N/A	1108	277863	344	15804065	307790	51346910	Asia
Spain	11578653	+6769	102747	+50	10997681	+22350	478225	420	247478	2196	471036328	10067744	46786679	Europe
Vietnam	9931340	+55043	42681	+39	8147290	+303455	1741369	2055	100437	432	84742786	857016	98881274	Asia
Argentina	9045326	+2228	128106	+20	8872658	+2116	44562	468	196953	2789	35510477	773206	45926289	South America
Netherlands	7935057	+14032	22037	+14	6685179	+66792	1227841	120	461296	1281	21107399	1227056	17201659	Europe
Iran	7175780	+4615	140407	+39	6895961	+5193	139412	1440	83550	1635	49358909	574700	85886416	Asia
Japan	6735920	+33834	28327	+41	6245827	+42305	461766	508	53547	225	43901851	348997	125794456	Asia
Colombia	6086484	+251	139678	+8	5919709	+324	27097	342	117413	2695	34019306	656260	51838155	South America
Indonesia	6023924	+2282	155421	+72	5783299	+7241	85204	2771	21621	558	92541687	332145	278618099	Asia
Poland	5971986	+1879	115395	+50	5333566	+32	523025	268	158099	3055	35766808	946873	37773594	Europe
Mexico	5666921	+706	323235	+12	4965840	+1420	377846	4798	43154	2461	15602608	118815	131318750	North America
Ukraine	4975837	+2099	108041	+22	N/A	N/A	N/A	177	114992	2497	19521252	451140	43270974	Europe
Australia	4785679	+58178	6435	+37	4292552	+71166	486692	114	183916	247	67080089	2577921	26021000	Australia/Oceania
Malaysia	4268486	+12017	35160	+33	4062154	+20431	171172	234	128971	1062	56960067	1721037	33096363	Asia
Israel	3967740	+10241	10554	N/A	3894082	+10959	63104	259	425449	1132	41373364	4436346	9326000	Asia
Austria	3912606	+12946	16061	+59	3643590	+35888	252955	224	430102	1766	177405999	19501763	9096921	Europe
Belgium	3881523	N/A	30908	N/A	3561398	+13486	289217	183	332366	2647	33001012	2825798	11678474	Europe
Czechia	3838914	+6553	39781	+24	3747652	+7180	51481	92	357308	3703	54790753	5099671	10743978	Europe
Thailand	3757575	+21088	25606	+91	3481827	+27519	250142	1496	53597	365	17270775	246343	70108510	Asia
South Africa	3725177	+1538	100067	+15	3613688	+1607	11422	546	61446	1651	23947309	395003	60625704	Africa
Philippines	3679979	+221	59370	+5	3586984	+1387	33625	289	32813	529	29022359	258782	112149810	Asia
Portugal	3604114	N/A	21693	N/A	N/A	N/A	N/A	61	355283	2138	40239817	3966726	10144339	Europe
Peru	3549028	+311	212372	+18	N/A	N/A	N/A	421	105061	6287	28971116	857622	33780766	South America
Canada	3521753	+11547	37772	+51	3313633	+9066	170348	386	91892	986	59642149	1556219	38325048	North America
Switzerland	3512093	+5847	13740	+4	2916405	+41270	581948	136	400644	1567	20400357	2327184	8766111	Europe
Chile	3492200	+2287	56809	+11	3131650	+19305	303741	520	179962	2928	35790084	1844351	19405242	South America
Greece	3114591	+18456	27816	+70	2856354	+45086	230421	358	301411	2692	75356144	7292499	10333377	Europe
Denmark	2924746	+3170	5798	+21	2867100	+6977	51848	19	501832	995	126879654	21770206	5828133	Europe
Romania	2864473	+3047	65129	+27	2606660	N/A	192684	385	150669	3426	22213710	1168426	19011654	Europe
Sweden	2491161	+1036	18472	N/A	2440686	+1267	32003	25	243988	1809	18417910	1803875	10210194	Europe
Iraq	2320806	+280	25178	+1	2285632	+699	9996	41	55506	602	18366982	439280	41811513	Asia
Serbia	1983734	+1541	15842	+8	1936195	+2067	31697	28	228663	1826	9249135	1066136	8675379	Europe
Bangladesh	1951867	+36	29123	N/A	1885251	+899	37493	1283	11647	174	13859546	82704	167579420	Asia
Hungary	1860159	+5961	45611	+101	1717268	+7898	97280	49	193421	4743	11158930	1160317	9617142	Europe
Slovakia	1732096	+5144	19462	+22	1627006	+8914	85628	179	316984	3562	6926378	1267569	5464300	Europe
Jordan	1689314	N/A	14003	N/A	1668852	N/A	6459	276	162723	1349	16575546	1596635	10381548	Asia
Georgia	1650008	+578	16761	+3	1629032	+389	4215	N/A	415025	4216	16474337	4143779	3975679	Asia
Pakistan	1525775	+155	30361	N/A	1486252	+61	9162	321	6679	133	27607487	120850	228444473	Asia
Ireland	1477112	+2738	6805	+6	1313409	+1241	156898	54	293373	1352	11874276	2358377	5034936	Europe
Norway	1411550	+1499	2667	+21	N/A	N/A	N/A	20	256836	485	11002430	2001930	5495912	Europe
Kazakhstan	1305214	+15	13660	N/A	1290108	+73	1446	528	68078	712	11575012	603737	19172287	Asia
Hong Kong	1177814	+3254	8349	+87	N/A	N/A	N/A	115	154892	1098	44972952	5914288	7604119	Asia
Morocco	1163656	+95	16061	+1	1146888	+91	707	293	30882	426	11237010	298213	37681122	Africa
Bulgaria	1142698	+839	36636	+28	933840	+2158	172222	174	166664	5343	9650834	1407583	6856318	Europe
Singapore	1119419	+6341	1284	+1	1046731	+4644	71404	16	188728	216	23548306	3970117	5931389	Asia
Croatia	1103662	+835	15634	+15	1080707	+1125	7321	34	271793	3850	4698129	1156982	4060676	Europe
Cuba	1093676	+510	8516	+1	1081969	+860	3191	23	96662	753	12920253	1141926	11314438	North America
Lebanon	1093551	+284	10324	+5	1067926	+3865	15301	186	161491	1525	4795578	708189	6771607	Asia
Tunisia	1037358	N/A	28425	N/A	N/A	N/A	N/A	29	86185	2362	4537900	377013	12036442	Africa
Lithuania	1033929	+2164	8927	+11	973428	+5597	51574	62	389369	3362	8102064	3051166	2655399	Europe
Nepal	978528	+21	11951	N/A	965765	+51	812	100	32553	398	5563056	185068	30059602	Asia
Slovenia	978171	+3436	6512	+7	936697	+5000	34962	37	470401	3132	2621101	1260483	2079441	Europe
Belarus	965947	+293	6853	+4	928536	N/A	30558	N/A	102283	726	12899942	1365962	9443848	Europe
Finland	907786	+6450	3254	+2	46000	N/A	858532	40	163392	586	10483383	1886898	5555882	Europe
Bolivia	902605	+108	21897	+1	843920	+1324	36788	220	75510	1832	2686794	224771	11953454	South America
UAE	892714	+244	2302	N/A	871055	+441	19357	N/A	88380	228	149380063	14788828	10100872	Asia
Uruguay	890980	+840	7171	+2	878876	+1081	4933	35	254934	2052	6037194	1727411	3494937	South America
