	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
207	Saint Kitts and Nevis	5554		43.0		5508.0	1.0	3.0		103100.0	798.0	65141.0	1209226.0	53870.0	North America
208	St. Barth	4313		6.0						434297.0	604.0	78646.0	7919243.0	9931.0	North America
209	Palau	4122		6.0		3803.0		313.0		225888.0	329.0	42138.0	2309185.0	18248.0	Australia/Oceania
210	Samoa	4092		9.0		1605.0		2478.0	3.0	20382.0	45.0	32653.0	162643.0	200765.0	Australia/Oceania
211	Cook Islands	3688	104.0			3049.0	159.0	639.0		209629.0		14341.0	815154.0	17593.0	Australia/Oceania
212	Kiribati	3069		13.0		2595.0		461.0	3.0	25009.0	106.0			122716.0	Australia/Oceania
213	Anguilla	2731		9.0		2716.0		6.0	4.0	179176.0	590.0	51382.0	3371080.0	15242.0	North America
214	Saint Pierre Miquelon	2537	28.0	1.0		2449.0	88.0	87.0	1.0	441678.0	174.0	22941.0	3993907.0	5744.0	North America
215	Diamond Princess	712		13.0		699.0		0.0							
216	Wallis and Futuna	454		7.0		438.0		9.0		41697.0	643.0	20508.0	1883542.0	10888.0	Australia/Oceania
217	Montserrat	176		2.0		173.0		1.0		35221.0	400.0	9403.0	1881729.0	4997.0	North America
218	Falkland Islands	128								34963.0		8632.0	2357826.0	3661.0	South America
219	Macao	82				82.0		0.0		123.0		5375.0	8081.0	665118.0	Asia
220	Vatican City	29				29.0		0.0		36025.0				805.0	Europe
221	Western Sahara	10		1.0		8.0		1.0		16.0	2.0			623514.0	Africa
222	MS Zaandam	9		2.0		7.0		0.0							
223	Marshall Islands	7				7.0		0.0		117.0				59902.0	Australia/Oceania
224	Niue	7				7.0		0.0		4253.0				1646.0	Australia/Oceania
225	Nauru	3				3.0		0.0		274.0				10945.0	Australia/Oceania
226	Saint Helena	2				2.0		0.0		327.0				6109.0	Africa
227	Micronesia	1				1.0		0.0		9.0				117173.0	Australia/Oceania
