	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
42	Hungary	1876946	2740.0	45838.0	26.0	1742051.0	6122.0	89057.0	47.0	195178.0	4767.0	11233362.0	1168121.0	9616609.0	Europe
43	Slovakia	1757117	2538.0	19643.0	25.0	1683932.0	6767.0	53542.0	130.0	321560.0	3595.0	6995626.0	1280228.0	5464358.0	Europe
44	Jordan	1694216		14048.0		1678941.0		1227.0	124.0	163160.0	1353.0	16670254.0	1605416.0	10383760.0	Asia
45	Georgia	1652235	266.0	16781.0	2.0	1632194.0	348.0	3260.0		415603.0	4221.0	16627678.0	4182525.0	3975512.0	Asia
46	Pakistan	1526829	101.0	30362.0		1487073.0	113.0	9394.0	262.0	6681.0	133.0	27805841.0	121668.0	228538380.0	Asia
47	Ireland	1496910	2096.0	6919.0	16.0	1346830.0	2081.0	143161.0	58.0	297234.0	1374.0	11942846.0	2371428.0	5036141.0	Europe
48	Norway	1418431	800.0	2783.0					20.0	258045.0	506.0	11002430.0	2001593.0	5496837.0	Europe
49	Kazakhstan	1305327	12.0	13660.0		1290720.0	41.0	947.0	24.0	68067.0	712.0	11575012.0	603582.0	19177195.0	Asia
50	Hong Kong	1194295	1272.0	8948.0	62.0				115.0	157032.0	1177.0	44972952.0	5913256.0	7605447.0	Asia
51	Morocco	1164189	54.0	16061.0		1147424.0	69.0	704.0	293.0	30888.0	426.0	11237010.0	298138.0	37690682.0	Africa
52	Singapore	1148656	3535.0	1309.0	2.0	1079687.0	2885.0	67660.0	13.0	193624.0	221.0	23611604.0	3980115.0	5932393.0	Asia
53	Bulgaria	1147812	647.0	36756.0	16.0	944639.0	990.0	166417.0	131.0	167437.0	5362.0	9724468.0	1418557.0	6855181.0	Europe
54	Croatia	1110989	1142.0	15707.0	5.0	1089283.0	467.0	5999.0	27.0	273634.0	3869.0	4731537.0	1165367.0	4060125.0	Europe
55	Cuba	1098114	439.0	8519.0		1087352.0	622.0	2243.0	23.0	97056.0	753.0	12920253.0	1141941.0	11314287.0	North America
56	Lebanon	1095099	188.0	10353.0	3.0	1074880.0	629.0	9866.0	186.0	161735.0	1529.0	4795578.0	708259.0	6770942.0	Asia
57	Lithuania	1045108	1539.0	8991.0	9.0	997837.0	2594.0	38280.0	47.0	393701.0	3387.0	8157182.0	3072877.0	2654575.0	Europe
58	Tunisia	1038668		28509.0					29.0	86274.0	2368.0	4547755.0	377747.0	12039144.0	Africa
59	Slovenia	992632	1737.0	6545.0	4.0	959489.0	3148.0	26598.0	32.0	477354.0	3147.0	2630209.0	1264859.0	2079448.0	Europe
60	Nepal	978631	15.0	11951.0		966160.0	49.0	520.0		32544.0	397.0	5586487.0	185776.0	30071072.0	Asia
61	Belarus	971649	899.0	6885.0	3.0	928536.0		36228.0		102888.0	729.0	12987175.0	1375209.0	9443780.0	Europe
62	Finland	920692		3334.0		46000.0		871358.0	33.0	165709.0	600.0	10512930.0	1892152.0	5556070.0	Europe
63	Bolivia	903584	107.0	21899.0		850086.0	655.0	31599.0	220.0	75570.0	1831.0	2688875.0	224880.0	11956936.0	South America
