Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	82295768	N/A	1015357	N/A	80129374	+1065	1151037	1549	246053	3036	995576382	2976631	334464117	North America
India	43040947	N/A	521776	N/A	42507834	N/A	11337	698	30652	372	794525202	565821	1404198864	Asia
Brazil	30247302	N/A	661960	N/A	29199903	N/A	385439	8318	140519	3075	63776166	296283	215253965	South America
France	27572791	N/A	144061	N/A	24775338	N/A	2653392	1541	420759	2198	260504402	3975279	65531091	Europe
Germany	23365504	N/A	133306	N/A	19802700	+128400	3429498	1980	277297	1582	122332384	1451815	84261708	Europe
UK	21747638	N/A	171396	N/A	20116135	+67341	1460107	355	317382	2501	512140269	7474103	68521968	Europe
Russia	18053359	N/A	373027	N/A	17340639	N/A	339693	2300	123614	2554	273400000	1872012	146046055	Europe
S. Korea	16212751	+107882	20889	+273	N/A	N/A	N/A	913	315743	407	15804065	307784	51347871	Asia
Italy	15595302	N/A	161469	N/A	14214909	N/A	1218924	419	258614	2678	208411581	3456057	60303282	Europe
Turkey	14987583	N/A	98532	N/A	14719749	N/A	169302	975	174361	1146	156868643	1824958	85957383	Asia
Spain	11662214	N/A	103266	N/A	11120708	N/A	438240	368	249261	2207	471036328	10067660	46787073	Europe
Vietnam	10394533	N/A	42924	N/A	8863044	N/A	1488565	1242	105101	434	85578698	865302	98900397	Asia
Argentina	9059944	N/A	128327	N/A	8894180	N/A	37437	412	197233	2794	35707307	777338	45935345	South America
Netherlands	8015576	N/A	22156	N/A	7305079	N/A	688341	113	465955	1288	21107399	1226997	17202485	Europe
Japan	7287343	+50293	28945	+61	6738172	+56019	520226	222	57934	230	45528128	361949	125786031	Asia
Iran	7204049	N/A	140777	N/A	6938480	N/A	124792	1441	83856	1639	50079995	582936	85909914	Asia
Colombia	6089381	N/A	139741	N/A	5922639	N/A	27001	342	117442	2695	34236252	660294	51850003	South America
Indonesia	6038664	N/A	155820	N/A	5820179	N/A	62665	2771	21669	559	93900348	336945	278681282	Asia
Poland	5983864	N/A	115809	N/A	5334009	N/A	534046	268	158418	3066	35924946	951082	37772692	Europe
Mexico	5725075	N/A	323891	N/A	5026123	N/A	375061	4798	43587	2466	15691493	119465	131348341	North America
Australia	5351477	+41209	6762	+35	4876682	N/A	468033	134	205609	260	68228047	2621387	26027464	Australia/Oceania
Ukraine	4990465	N/A	108220	N/A	N/A	N/A	N/A	177	115346	2501	19521252	451199	43265262	Europe
Malaysia	4372697	N/A	35397	N/A	4224125	N/A	113175	152	132084	1069	57867837	1747986	33105427	Asia
Austria	4036813	N/A	16390	N/A	3873490	N/A	146933	174	443701	1801	180245342	19811443	9098042	Europe
Israel	4025950	N/A	10612	N/A	3941841	N/A	73497	196	431691	1138	41373364	4436346	9326000	Asia
Thailand	4012184	+18892	26757	+125	3763978	+22220	221449	1496	57225	382	17270775	246330	70112328	Asia
Belgium	3972963	N/A	31165	N/A	3638799	N/A	302999	181	340163	2668	33313880	2852320	11679574	Europe
Czechia	3880556	+1249	39971	+1	3808382	+5553	32203	62	361170	3720	55012917	5120143	10744411	Europe
South Africa	3739192	N/A	100142	N/A	3626109	N/A	12941	175	61660	1651	24161679	398431	60642047	Africa
Portugal	3719485	N/A	21993	N/A	N/A	N/A	N/A	61	366680	2168	40678788	4010255	10143691	Europe
Philippines	3682623	N/A	59956	N/A	3599468	N/A	23199	289	32827	534	29242796	260674	112181693	Asia
Canada	3623785	N/A	38288	N/A	3367618	N/A	217879	407	94536	999	60149136	1569151	38332273	North America
Peru	3554669	N/A	212596	N/A	N/A	N/A	N/A	379	105196	6292	29371506	869216	33790808	South America
Switzerland	3551790	N/A	13793	N/A	3195806	+33525	342191	103	405109	1573	20548491	2343714	8767492	Europe
Chile	3525845	N/A	57205	N/A	3280319	N/A	188321	346	181662	2947	36365786	1873673	19408825	South America
Greece	3224479	N/A	28488	N/A	3049305	N/A	146686	329	312078	2757	77606878	7511117	10332269	Europe
Denmark	2946592	N/A	5974	N/A	2908805	N/A	31813	22	505542	1025	127045638	21797021	5828578	Europe
Romania	2880276	N/A	65310	N/A	2606660	N/A	208306	253	151523	3436	22396439	1178210	19008864	Europe
Sweden	2495996	N/A	18572	N/A	2455229	+1786	22195	24	244428	1819	18471631	1808893	10211568	Europe
Iraq	2322938	N/A	25197	N/A	2291660	N/A	6081	30	55531	602	18418937	440315	41831289	Asia
Serbia	1994623	N/A	15916	N/A	1954914	N/A	23793	24	229938	1835	9359560	1078960	8674613	Europe
Bangladesh	1952224	N/A	29124	N/A	1890264	N/A	32836	1283	11647	174	13916558	83027	167615256	Asia
Hungary	1879480	N/A	45865	N/A	1748707	N/A	84908	50	195441	4769	11244573	1169287	9616609	Europe
Slovakia	1762270	N/A	19697	N/A	1696941	N/A	45632	111	322503	3605	7010890	1283022	5464358	Europe
Jordan	1694216	N/A	14048	N/A	1678941	N/A	1227	124	163160	1353	16670254	1605416	10383760	Asia
Georgia	1652929	+222	16789	+1	1633684	+346	2456	N/A	415778	4223	16693631	4199115	3975512	Asia
Pakistan	1527151	+76	30363	N/A	1490947	+3803	5841	211	6682	133	27880235	121994	228538380	Asia
Ireland	1498834	N/A	6932	N/A	1358535	+5452	133367	57	297616	1376	11962495	2375330	5036141	Europe
Norway	1419096	N/A	2783	N/A	N/A	N/A	N/A	20	258166	506	11002430	2001593	5496837	Europe
Kazakhstan	1305375	+20	13660	N/A	1290790	+5	925	24	68069	712	11575012	603582	19177195	Asia
Hong Kong	1196284	N/A	9069	N/A	N/A	N/A	N/A	115	157293	1192	44972952	5913256	7605447	Asia
Morocco	1164296	N/A	16062	N/A	1147579	N/A	655	293	30891	426	11237010	298138	37690682	Africa
Singapore	1155581	N/A	1310	N/A	1082412	N/A	71859	10	194792	221	23611604	3980115	5932393	Asia
Bulgaria	1148971	N/A	36781	N/A	948319	N/A	163871	118	167606	5365	9741861	1421095	6855181	Europe
Croatia	1112491	N/A	15720	N/A	1091249	N/A	5522	24	274004	3872	4738252	1167021	4060125	Europe
Cuba	1099042	N/A	8519	N/A	1088513	N/A	2010	23	97138	753	12920253	1141941	11314287	North America
Lebanon	1095406	N/A	10355	N/A	1076026	N/A	9025	186	161780	1529	4795578	708259	6770942	Asia
Lithuania	1047563	N/A	9004	N/A	1002464	N/A	36095	47	394626	3392	8171007	3078085	2654575	Europe
Tunisia	1038668	N/A	28509	N/A	N/A	N/A	N/A	29	86274	2368	4547755	377747	12039144	Africa
Slovenia	995515	N/A	6555	N/A	964712	N/A	24248	29	478740	3152	2632408	1265917	2079448	Europe
Nepal	978648	N/A	11951	N/A	966259	N/A	438	N/A	32544	397	5591779	185952	30071072	Asia
Belarus	973206	N/A	6894	N/A	928536	N/A	37776	N/A	103053	730	13013839	1378033	9443780	Europe
Finland	949583	N/A	3517	N/A	46000	N/A	900066	29	170909	633	10591416	1906278	5556070	Europe
Bolivia	903776	N/A	21901	N/A	851262	N/A	30613	220	75586	1832	2688875	224880	11956936	South America
Uruguay	895451	N/A	7193	N/A	885920	N/A	2338	21	256195	2058	6086962	1741521	3495199	South America
UAE	895018	N/A	2302	N/A	876495	N/A	16221	N/A	88585	228	151937941	15038173	10103484	Asia
Ecuador	865585	N/A	35513	N/A	N/A	N/A	N/A	759	47768	1960	2470170	136317	18120722	South America
Costa Rica	844892	N/A	8357	N/A	825599	N/A	10936	44	163199	1614	4163300	804181	5177071	North America
Guatemala	837377	N/A	17422	N/A	816403	N/A	3552	5	45248	941	4350058	235057	18506374	North America
New Zealand	818882	+5812	543	+9	760025	+8568	58314	N/A	163708	109	6968718	1393158	5002100	Australia/Oceania
Latvia	812686	N/A	5711	N/A	795070	N/A	11905	11	439523	3089	7123503	3852585	1849019	Europe
Azerbaijan	792320	N/A	9705	N/A	782440	N/A	175	N/A	76908	942	6759211	656097	10302149	Asia
Panama	768470	N/A	8178	N/A	757723	N/A	2569	9	173240	1844	5783875	1303888	4435867	North America
Saudi Arabia	752396	N/A	9066	N/A	738531	N/A	4799	62	21028	253	41727951	1166219	35780534	Asia
Sri Lanka	662794	N/A	16495	N/A	642545	N/A	3754	N/A	30723	765	6477329	300247	21573365	Asia
Paraguay	648446	N/A	18734	N/A	624673	N/A	5039	3	88965	2570	2615453	358834	7288764	South America
Kuwait	630641	N/A	2555	N/A	626843	N/A	1243	4	143878	583	7948416	1813390	4383180	Asia
Myanmar	612527	N/A	19434	N/A	591264	N/A	1829	N/A	11125	353	7816330	141960	55060279	Asia
Palestine	581678	N/A	5352	N/A	575613	N/A	713	17	109487	1007	3078533	579458	5312781	Asia
Dominican Republic	578626	N/A	4375	N/A	574132	N/A	119	16	52403	396	3251191	294441	11041897	North America
Estonia	566923	N/A	2508	N/A	500460	N/A	63955	3	426859	1888	3290288	2477391	1328126	Europe
Bahrain	562399	N/A	1473	N/A	556861	N/A	4065	3	311243	815	9669842	5351484	1806946	Asia
Venezuela	521946	N/A	5700	N/A	514608	N/A	1638	230	18448	201	3359014	118726	28292265	South America
Moldova	516164	N/A	11480	N/A	502950	N/A	1734	47	128487	2858	3199289	796389	4017244	Europe
Egypt	511977	N/A	24522	N/A	442182	N/A	45273	122	4840	232	3693367	34917	105775222	Africa
Libya	501834	N/A	6429	N/A	490837	N/A	4568	101	71305	913	2475203	351696	7037896	Africa
Ethiopia	470232	N/A	7509	N/A	453616	N/A	9107	20	3917	63	4728446	39391	120038795	Africa
Mongolia	469330	+23	2177	N/A	313256	N/A	153897	192	139167	646	4030048	1195004	3372414	Asia
Cyprus	464366	N/A	993	N/A	124370	N/A	339003	60	379684	812	9477138	7748882	1223033	Asia
Armenia	422747	+18	8621	N/A	410434	+14	3692	N/A	142190	2900	3013643	1013630	2973120	Asia
Honduras	421268	N/A	10888	N/A	131100	N/A	279280	105	41360	1069	1263329	124032	10185468	North America
Oman	388795	N/A	4257	N/A	383851	N/A	687	6	72834	797	25000000	4683326	5338087	Asia
Bosnia and Herzegovina	376437	N/A	15749	N/A	192218	N/A	168470	N/A	116026	4854	1748585	538950	3244431	Europe
Qatar	363345	N/A	677	N/A	361578	N/A	1090	1	129405	241	3420543	1218227	2807805	Asia
Réunion	360445	N/A	731	N/A	342442	N/A	17272	10	397532	806	1603660	1768666	906706	Africa
Kenya	323605	N/A	5649	N/A	317806	N/A	150	N/A	5791	101	3562960	63758	55882487	Africa
Zambia	318404	N/A	3970	N/A	313415	N/A	1019	1	16496	206	3396590	175976	19301428	Africa
North Macedonia	308390	N/A	9261	N/A	298099	N/A	1030	N/A	148035	4446	1992684	956540	2083221	Europe
Botswana	305859	N/A	2688	N/A	303026	N/A	145	1	125544	1103	2026898	831968	2436268	Africa
Albania	274429	N/A	3495	N/A	270566	N/A	368	2	95547	1217	1791315	623675	2872193	Europe
Algeria	265738	N/A	6874	N/A	178331	N/A	80533	6	5871	152	230861	5100	45262694	Africa
Nigeria	255646	N/A	3143	N/A	249842	N/A	2661	11	1188	15	4977858	23126	215245373	Africa
Zimbabwe	247237	N/A	5462	N/A	240860	N/A	915	12	16214	358	2226058	145983	15248698	Africa
Uzbekistan	238252	+38	1637	N/A	236228	+42	387	23	6939	48	1377915	40133	34334066	Asia
Montenegro	234051	N/A	2709	N/A	230805	N/A	537	6	372569	4312	2437003	3879293	628208	Europe
Luxembourg	229311	N/A	1054	N/A	214556	N/A	13701	4	355998	1636	4200517	6521175	644135	Europe
Mozambique	225316	N/A	2200	N/A	223071	N/A	45	13	6866	67	1305741	39790	32815874	Africa
Kyrgyzstan	200980	N/A	2991	N/A	196306	N/A	1683	131	29925	445	1907195	283974	6716101	Asia
Laos	199434	N/A	712	N/A	7660	N/A	191062	N/A	26720	95	1232128	165080	7463801	Asia
Iceland	183974	N/A	110	N/A	75685	N/A	108179	1	532961	319	1953616	5659505	345192	Europe
China	178764	+3896	4638	N/A	148170	+2818	25956	74	124	3	160000000	111163	1439323776	Asia
Afghanistan	178373	N/A	7676	N/A	161465	N/A	9232	1124	4405	190	933957	23066	40491001	Asia
Maldives	178313	N/A	298	N/A	163687	N/A	14328	25	319834	535	2213831	3970876	557517	Asia
Uganda	164042	N/A	3596	N/A	100200	N/A	60246	2	3395	74	2601846	53852	48314812	Africa
El Salvador	162089	N/A	4125	N/A	150662	N/A	7302	8	24767	630	1950448	298025	6544570	North America
Ghana	161101	N/A	1445	N/A	159624	N/A	32	1	4999	45	2430490	75413	32229121	Africa
Namibia	158001	N/A	4022	N/A	153662	N/A	317	N/A	60238	1533	994079	378994	2622939	Africa
Martinique	147519	N/A	918	N/A	104	N/A	146497	8	393651	2450	828928	2211973	374746	North America
Trinidad and Tobago	141853	N/A	3798	N/A	131451	N/A	6604	18	100779	2698	687522	488446	1407570	North America
Guadeloupe	140130	N/A	854	N/A	2250	N/A	137026	19	350110	2134	938039	2343656	400246	North America
Brunei	139637	N/A	217	N/A	137780	N/A	1640	3	313827	488	717784	1613183	444949	Asia
Cambodia	136032	N/A	3055	N/A	132732	N/A	245	N/A	7940	178	2942234	171744	17131529	Asia
Rwanda	129756	N/A	1458	N/A	45522	N/A	82776	1	9594	108	5188208	383617	13524439	Africa
Jamaica	129168	N/A	2924	N/A	82365	N/A	43879	N/A	43284	980	961699	322262	2984217	North America
Cameroon	119780	N/A	1927	N/A	117791	N/A	62	13	4321	70	1751774	63187	27723536	Africa
Angola	99194	N/A	1900	N/A	97149	N/A	145	N/A	2860	55	1499795	43237	34687890	Africa
Malta	88244	N/A	672	N/A	79013	N/A	8559	4	198909	1515	1853069	4176966	443640	Europe
DRC	87023	N/A	1337	N/A	50930	N/A	34756	N/A	922	14	846704	8968	94413020	Africa
Senegal	85965	N/A	1965	N/A	83976	N/A	24	1	4904	112	1058790	60398	17530267	Africa
Malawi	85723	N/A	2630	N/A	81895	N/A	1198	67	4284	131	568432	28406	20010914	Africa
Ivory Coast	81849	N/A	797	N/A	81020	N/A	32	N/A	2972	29	1487207	53997	27542434	Africa
French Guiana	80035	N/A	394	N/A	11254	N/A	68387	2	256129	1261	618263	1978575	312479	South America
Suriname	79276	N/A	1325	N/A	49395	N/A	28556	N/A	133012	2223	235707	395478	596005	South America
French Polynesia	72596	N/A	648	N/A	N/A	N/A	N/A	7	255796	2283	N/A	N/A	283804	Australia/Oceania
Channel Islands	72328	N/A	165	N/A	70327	N/A	1836	N/A	409278	934	1252808	7089186	176721	Europe
