Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	81996597	+37417	1011261	+499	66219453	+115233	14765883	1709	245185	3024	989588272	2959056	334427063	North America
India	43033067	+1109	521604	+44	42500002	+1213	11461	8944	30652	372	792509451	564490	1403939582	Asia
Brazil	30094388	+27139	661035	+253	28976397	+33510	456956	8318	139827	3071	63776166	296323	215225111	South America
France	26549263	+158792	143017	+105	23814861	+97451	2591385	1541	405157	2183	260504402	3975447	65528336	Europe
Germany	22364607	+200547	131805	+289	17930900	+255200	4301902	2494	265434	1564	104701826	1242654	84256598	Europe
UK	21524525	+41934	169412	+317	19470498	+64009	1884615	361	314157	2473	509069181	7430022	68515161	Europe
Russia	17955120	+14355	370889	+287	17105946	+35304	478285	2300	122942	2540	273400000	1872028	146044862	Europe
Italy	15107172	+70702	160973	N/A	13692608	+91204	1253591	471	250513	2669	205167186	3402160	60304976	Europe
Turkey	14939259	+9354	98311	+36	14623264	+10885	217684	975	173834	1144	155400010	1808238	85940035	Asia
S. Korea	14778405	+224761	18381	+348	N/A	N/A	N/A	1116	287814	358	15804065	307789	51347030	Asia
Spain	11611209	+16278	102985	+119	11021441	+11880	486783	420	248173	2201	471036328	10067734	46786728	Europe
Vietnam	10070692	+45886	42733	+21	8395066	+117503	1632893	1674	101844	432	84845790	858036	98883664	Asia
Argentina	9049250	+1842	128158	+14	8877337	+3068	43755	428	197034	2790	35561414	774296	45927421	South America
Netherlands	7960952	+12810	22066	+8	6815816	+66210	1123070	122	462799	1283	21107399	1227049	17201762	Europe
Iran	7183808	+3800	140492	+41	6904733	+4636	138583	1536	83640	1636	49358909	574680	85889353	Asia
Japan	6832377	+54142	28456	+69	6329017	+42637	474904	494	54314	226	44223732	351558	125793403	Asia
Colombia	6087123	+312	139693	+6	5920229	+304	27201	342	117422	2695	34074406	657304	51839636	South America
Indonesia	6028413	+2089	155509	+45	5794602	+5888	78302	2771	21636	558	92817150	333125	278625997	Asia
Poland	5975034	+1481	115536	+64	5333630	+64	525868	268	158181	3059	35808565	947982	37773481	Europe
Mexico	5683288	+12144	323403	+85	4982288	+12040	377597	4798	43277	2463	15632134	119036	131322449	North America
Ukraine	4980224	+2226	108098	+22	N/A	N/A	N/A	177	115096	2498	19521252	451147	43270260	Europe
Australia	4911725	+64000	6495	+33	4420823	+60518	484407	102	188754	250	67345284	2588032	26021808	Australia/Oceania
Malaysia	4292585	+11994	35228	+36	4099786	+16603	157571	197	129695	1064	57195409	1728089	33097496	Asia
Israel	3982531	+7750	10559	+4	3894082	N/A	77890	249	427035	1132	41373364	4436346	9326000	Asia
Austria	3950161	+16479	16141	+44	3701204	+27097	232816	201	434224	1774	178486429	19620230	9097061	Europe
Belgium	3915732	+10610	30997	+27	3567029	+5713	317706	183	335291	2654	33001012	2825765	11678611	Europe
Czechia	3850916	+5286	39836	+26	3753317	+2910	57763	96	358424	3708	54847071	5104887	10744033	Europe
Thailand	3807908	+26081	25791	+91	3534063	+26011	248054	1496	54314	368	17270775	246342	70108987	Asia
South Africa	3728689	+1481	100075	+5	3615531	+1022	13083	546	61501	1651	23996380	395799	60627747	Africa
Philippines	3680512	+276	59591	+169	3589451	+1092	31470	289	32817	531	29066768	259169	112153795	Asia
Portugal	3604114	N/A	21693	N/A	N/A	N/A	N/A	61	355286	2138	40239817	3966758	10144258	Europe
Canada	3552283	+16891	37935	+85	3322837	+4743	191511	386	92686	990	59788211	1559993	38325951	North America
Peru	3550240	+729	212420	+24	N/A	N/A	N/A	408	105093	6288	29043592	859735	33782021	South America
Switzerland	3512093	N/A	13749	+4	2965701	+34936	532643	113	400637	1568	20400357	2327139	8766283	Europe
Chile	3500670	+4432	56912	+90	3157504	+11751	286254	479	180394	2933	35923936	1851206	19405690	South America
Greece	3137714	+10858	27968	+76	2889000	+16482	220746	359	303653	2707	75846164	7340019	10333238	Europe
