Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	80923683	+27590	984678	+510	54596689	+165814	25342316	6320	242100	2946	956451557	2861420	334257677	North America
India	42962953	+5476	515063	+155	42388475	+9754	59415	8944	30628	367	772824246	550933	1402754293	Asia
Brazil	29033052	+58737	651988	+645	26982294	+72813	1398770	8318	134979	3031	63776166	296505	215093207	South America
France	23011998	+53678	139243	+120	21569704	+86381	1303051	2484	351244	2125	246629975	3764438	65515745	Europe
UK	19119181	N/A	162008	N/A	17537214	N/A	1419959	264	279177	2366	485037295	7082486	68484046	Europe
Russia	16861793	+86769	355537	+750	14418916	+155725	2087340	2300	115461	2435	273400000	1872097	146039410	Europe
Germany	15723907	+144427	124670	+153	12033600	+135100	3565637	2494	186671	1480	104701826	1242999	84233236	Europe
Turkey	14326217	+32389	95379	+174	13694075	+57894	536763	1011	166854	1111	145746122	1697471	85860733	Asia
Italy	12991055	+40795	155782	+173	11815610	+46147	1019663	609	215395	2583	189484157	3141695	60312718	Europe
Spain	11112427	+11999	100479	+48	9938647	+77633	1073301	851	237520	2148	471036328	10068073	46785150	Europe
Argentina	8934328	+4430	126708	+84	8729665	+9649	77955	1009	194685	2761	34473709	751205	45891196	South America
Iran	7084306	+4089	137747	+154	6719004	+9873	227555	3983	82572	1606	47647542	555363	85795361	Asia
Netherlands	6640403	+67208	21608	+9	4821136	+91957	1797659	159	386105	1256	21107399	1227284	17198457	Europe
Colombia	6070616	+1191	139037	+53	5899197	+1614	32382	342	117211	2685	33325965	643455	51792246	South America
Poland	5734042	+12738	112535	+199	5115918	+5901	505589	637	151786	2979	34029943	900809	37777092	Europe
Indonesia	5723858	+30156	149918	+322	5073522	+46669	500418	2911	20562	539	86750007	311632	278373269	Asia
Mexico	5554392	+9748	319604	+308	4832173	+10770	402615	4798	42334	2436	15198795	115841	131204086	North America
Japan	5274596	+64333	24604	+255	4579176	+79697	670816	1399	41919	196	39747311	315888	125827106	Asia
Ukraine	4862459	N/A	106485	N/A	N/A	N/A	N/A	177	112315	2460	19521252	450909	43293111	Europe
Vietnam	4292564	+133688	40726	+82	2616002	+26566	1635836	4249	43444	412	79958878	809242	98807169	Asia
S. Korea	4212652	+254326	8796	+216	969524	N/A	3234332	896	82049	171	15804065	307812	51343185	Asia
South Africa	3683172	+1735	99543	+26	3559951	+2582	23678	546	60816	1644	23226664	383516	60562373	Africa
Israel	3669119	+7048	10274	+10	3599664	+14372	59181	439	393429	1102	41373364	4436346	9326000	Asia
Philippines	3666672	+935	56879	+109	3560293	+1652	49500	292	32730	508	28340201	252978	112026263	Asia
Czechia	3624963	+8254	38911	+25	3503631	+12295	82421	173	337448	3622	52820750	4917080	10742301	Europe
Malaysia	3595172	+33406	33173	+67	3250793	+27143	311206	371	108743	1003	50621543	1531145	33061241	Asia
Belgium	3586292	+7554	30259	+15	3153957	N/A	402076	227	307198	2592	31867095	2729700	11674211	Europe
Peru	3524504	N/A	210995	N/A	N/A	N/A	N/A	837	104455	6253	27557825	816725	33741853	South America
Australia	3344617	+22901	5403	+48	3123151	+21470	216063	112	128659	208	63941649	2459678	25995948	Australia/Oceania
Portugal	3322134	+13696	21182	+20	2821650	+15695	479302	85	327406	2088	37805639	3725851	10146846	Europe
Canada	3320791	+3480	36956	+51	3168132	+1937	115703	600	86711	965	58355310	1523755	38297049	North America
Chile	3169095	+21661	42955	+146	2216435	+36310	909705	1061	163428	2215	33428088	1723865	19391359	South America
Thailand	3004814	+22818	23179	+52	2749491	+18462	232144	687	42869	331	17270775	246395	70093717	Asia
Switzerland	2912283	+23612	13300	N/A	2293957	N/A	605026	134	332424	1518	18871544	2154099	8760758	Europe
Austria	2839297	+31289	14986	+26	2534897	+29406	289414	202	312265	1648	162347984	17855002	9092577	Europe
Romania	2765169	+4837	63933	+76	2570546	+15156	130690	794	145363	3361	21291120	1119262	19022464	Europe
Denmark	2717328	+14931	4830	+58	2428005	+31426	284493	35	466381	829	125824470	21595540	5826410	Europe
