Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	80896406	+46453	983509	+1477	54430881	+207970	25482016	6693	242022	2942	955947969	2859959	334252383	North America
India	42957477	+5921	514908	+288	42378721	+11651	63848	8944	30624	367	770973356	549628	1402717252	Asia
Brazil	28974315	+68101	651343	+697	26909481	+99195	1413491	8318	134708	3028	63776166	296510	215089085	South America
France	22958320	+57789	139123	+181	21483323	+118431	1335874	2484	350427	2124	246629975	3764461	65515351	Europe
UK	19119181	+44740	162008	+110	17537214	N/A	1419959	264	279181	2366	485037295	7082586	68483074	Europe
Russia	16775024	+89174	354787	+776	14263191	+160507	2157046	2300	114867	2429	273400000	1872100	146039239	Europe
Germany	15579480	+203972	124517	+252	11898500	+201900	3556463	2494	184958	1478	104701826	1243010	84232506	Europe
Turkey	14293828	+38283	95205	+180	13636181	+63311	562442	1011	166482	1109	145385769	1693323	85858254	Asia
Italy	12950260	+39496	155609	+210	11769463	+55818	1025188	625	214718	2580	189102673	3135357	60312960	Europe
Spain	11100428	+22400	100431	+192	9861014	+60505	1138983	851	237264	2147	471036328	10068084	46785101	Europe
Argentina	8929898	+8362	126624	+93	8720016	+14838	83258	1035	194593	2759	34433802	750354	45890064	South America
Iran	7080217	+6470	137593	+154	6709131	+12637	233493	4056	82527	1604	47647542	555382	85792424	Asia
Netherlands	6573195	+68309	21599	+10	4729179	+76057	1822417	147	382199	1256	21107399	1227292	17198353	Europe
Colombia	6069425	+1351	138984	+45	5897583	+1703	32858	342	117191	2684	33310231	643169	51790765	South America
Poland	5721304	+12471	112336	+206	5110017	+10502	498951	656	151449	2974	33955578	898838	37777204	Europe
Indonesia	5693702	+26347	149596	+328	5026853	+40462	517253	2911	20454	537	86417138	310445	278365371	Asia
Mexico	5544644	+10558	319296	+461	4821403	+11604	403945	4798	42261	2434	15171873	115639	131200388	North America
Japan	5210263	+70958	24349	+257	4499479	+79653	686435	1419	41408	194	39532650	314180	125828159	Asia
Ukraine	4809624	N/A	105505	N/A	4058020	N/A	646099	177	111093	2437	19521252	450902	43293825	Europe
Vietnam	4158876	+128671	40644	+97	2589436	+38911	1528796	3418	42092	411	79863303	808294	98804778	Asia
S. Korea	3958326	+266838	8580	+186	969524	N/A	2980222	797	77096	167	15804065	307813	51343064	Asia
South Africa	3681437	+1898	99517	+18	3557369	+3087	24551	546	60790	1643	23196880	383038	60560331	Africa
Philippines	3665737	+843	56770	+232	3558641	+956	50326	296	32723	507	28203435	251766	112022278	Asia
Israel	3662071	+8463	10264	+25	3585292	N/A	66515	510	392673	1101	41373364	4436346	9326000	Asia
Czechia	3616694	+8075	38884	+38	3491400	+17164	86410	176	336679	3620	52779959	4913307	10742247	Europe
Belgium	3578738	+7159	30244	+27	3153984	+28944	394510	224	306554	2591	31831104	2726649	11674074	Europe
Malaysia	3561766	+33209	33106	+78	3223650	+26352	305010	348	107736	1001	50429187	1525379	33060108	Asia
Peru	3524504	+2020	210995	+88	N/A	N/A	N/A	837	104459	6253	27557825	816756	33740598	South America
Australia	3321716	+24511	5355	+38	3101681	+20132	214680	112	127782	206	63873799	2457144	25995140	Australia/Oceania
Canada	3317311	+6926	36905	+62	3166195	+4222	114211	600	86623	964	58355310	1523791	38296146	North America
Portugal	3308438	+13747	21162	+21	2805955	+6424	481321	84	326053	2086	37805639	3725822	10146927	Europe
Chile	3147434	+23132	42809	+126	2180125	+31104	924500	1096	162315	2208	33336422	1719178	19390912	South America
Thailand	2981996	+23834	23127	+54	2731029	+19351	227840	687	42543	330	17270775	246397	70093239	Asia
Switzerland	2877753	+14962	13300	+1	2293957	+37298	570496	134	328489	1518	18871544	2154142	8760585	Europe
Austria	2808008	+32419	14960	+36	2505491	+27323	287557	193	308829	1645	161522349	17764475	9092436	Europe
Romania	2760332	+5602	63856	+65	2555390	+19340	141086	816	145106	3357	21249513	1117054	19022813	Europe
Denmark	2702397	+19178	4772	+41	2396579	+33655	301046	42	463823	819	125736321	21580618	5826354	Europe
Greece	2486262	+16050	26092	+56	2272890	+9532	187280	389	240502	2524	66920511	6473377	10337806	Europe
Sweden	2455966	N/A	17479	N/A	2243175	+35855	195312	59	240670	1713	18174812	1781024	10204698	Europe
Iraq	2307158	+1066	25034	+6	2252820	+1916	29304	104	55285	600	18036568	432196	41732407	Asia
Bangladesh	1946369	+604	29064	+6	1835980	+4403	81325	1275	11625	174	13489346	80564	167436076	Asia
Serbia	1921831	+2504	15375	+29	1832694	+6999	73762	100	221449	1772	8814153	1015638	8678442	Europe
Hungary	1800046	+3064	44286	+75	1618574	+8259	137186	126	187129	4604	10836962	1126588	9619278	Europe
Jordan	1638228	N/A	13849	N/A	1546429	N/A	77950	694	157937	1335	16319298	1573293	10372699	Asia
