Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	84206198	+26312	1026616	+54	81243231	+36198	1936351	1937	251649	3068	1016882505	3038939	334617623	North America
India	43121022	+1910	524201	N/A	42576815	N/A	20006	698	30685	373	842944795	599844	1405273033	Asia
Brazil	30682094	+17355	664920	+90	29718402	+6664	298772	8318	142460	3087	63776166	296119	215373503	South America
France	29160802	+30459	147257	N/A	28156674	+58856	856871	1329	444914	2247	271490188	4142201	65542502	Europe
Germany	25774509	+40929	137907	+98	23925400	+49700	1711202	1279	305810	1636	122332384	1451450	84282880	Europe
UK	22159805	N/A	176708	N/A	21657770	N/A	325327	253	323264	2578	519264096	7574950	68550166	Europe
Russia	18255337	+5047	377571	+107	17640979	+7378	236787	2300	124993	2585	273400000	1871949	146050996	Europe
S. Korea	17756627	+29541	23661	+55	N/A	N/A	N/A	341	345787	461	15804065	307763	51351355	Asia
Italy	17030147	+36042	165182	+91	15864177	+43318	1000788	340	282441	2740	217659090	3609827	60296265	Europe
Turkey	15053168	+1407	98890	+5	14951238	+1645	3040	975	174977	1149	160622710	1867071	86029250	Asia
Spain	12127122	N/A	105444	N/A	11548089	N/A	473589	339	259190	2254	471036328	10067352	46788503	Europe
Vietnam	10695036	+1895	43065	+2	9349592	+5563	1302379	340	108064	435	85810502	867038	98969721	Asia
Argentina	9101319	N/A	128729	N/A	8895999	N/A	76591	372	197992	2800	35716069	776974	45968174	South America
Japan	8299584	+39228	30005	+31	7924786	+33849	344793	159	65998	239	50331407	400232	125755488	Asia
Netherlands	8067116	N/A	22292	N/A	7984457	N/A	60367	55	468869	1296	21107399	1226784	17205480	Europe
Iran	7227683	+255	141216	+7	7018868	+2191	67599	751	84048	1642	51733191	601583	85995095	Asia
Australia	6552073	+50434	7769	+48	6121919	N/A	422385	122	251510	298	70825186	2718723	26050899	Australia/Oceania
Colombia	6095316	N/A	139821	N/A	5928829	N/A	26666	342	117459	2694	34675581	668214	51892950	South America
Indonesia	6050519	+308	156453	+5	5889241	+416	4825	2771	21693	561	97245391	348662	278910317	Asia
Poland	6003297	+434	116207	+21	5335102	+32	551988	981	158946	3077	36218274	958931	37769420	Europe
Mexico	5745652	N/A	324465	N/A	5044893	N/A	376294	4798	43708	2468	15855490	120615	131455607	North America
Ukraine	5006460	N/A	108449	N/A	N/A	N/A	N/A	177	115771	2508	19521252	451415	43244553	Europe
Malaysia	4475873	+2373	35612	+5	4409159	N/A	31102	47	135067	1075	59274648	1788706	33138284	Asia
Thailand	4367752	+6736	29424	+54	4264998	+9213	73330	1496	62284	420	17270775	246281	70126166	Asia
Austria	4209157	+3777	18303	+7	4130999	+6178	59855	62	462438	2011	184964595	20321077	9102106	Europe
Belgium	4116397	N/A	31613	N/A	3935128	N/A	149656	117	352324	2706	33846023	2896893	11683561	Europe
Israel	4105369	+1083	10749	N/A	4077746	N/A	16874	150	440207	1153	41373364	4436346	9326000	Asia
Portugal	4066674	N/A	22583	N/A	N/A	N/A	N/A	61	400999	2227	41810659	4122792	10141346	Europe
Czechia	3915703	+470	40245	N/A	3870521	+1321	4937	14	364388	3745	55320767	5148043	10745981	Europe
South Africa	3887449	+8015	100753	+9	3708347	+5931	78349	192	64042	1660	24841314	409239	60701292	Africa
Canada	3821346	+1575	40228	+11	3499564	+2073	281554	423	99622	1049	61436458	1601640	38358465	North America
Philippines	3687922	+174	60455	N/A	3624459	+288	3008	289	32841	538	29827732	265614	112297269	Asia
Switzerland	3631881	N/A	13882	N/A	3545889	+5618	72110	78	414008	1582	20927607	2385592	8772500	Europe
Chile	3600896	+4928	57714	+17	3464725	+3605	78457	163	185405	2972	37637293	1937888	19421812	South America
Peru	3571919	+403	213023	+10	N/A	N/A	N/A	248	105593	6297	30226868	893567	33827210	South America
Greece	3389306	+4324	29536	+15	3301767	+2635	58003	173	328159	2860	81185725	7860546	10328255	Europe
Denmark	2976215	+395	6285	+7	2959769	+836	10161	12	510483	1078	127339427	21841385	5830190	Europe
Romania	2902790	+520	65606	+6	N/A	N/A	N/A	138	152788	3453	22943983	1207657	18998751	Europe
Sweden	2504894	N/A	18864	N/A	2476511	N/A	9519	9	245180	1846	18553837	1816057	10216549	Europe
Iraq	2326356	+68	25216	N/A	2299883	+87	1257	11	55518	602	18525204	442098	41902979	Asia
Serbia	2012597	+327	16046	+1	1987289	+978	9262	15	232084	1850	9592417	1106157	8671838	Europe
Bangladesh	1952979	+22	29127	N/A	1899150	+520	24702	1273	11643	174	14047637	83744	167745162	Asia
Hungary	1909948	N/A	46343	N/A	1821435	N/A	42170	29	198649	4820	11394556	1185122	9614673	Europe
Slovakia	1786914	+335	20028	+10	1760937	+926	5949	30	327000	3665	7125922	1304023	5464567	Europe
Jordan	1694216	N/A	14048	N/A	1678941	N/A	1227	124	163034	1352	16670254	1604177	10391780	Asia
Georgia	1655221	N/A	16811	N/A	1637293	N/A	1117	N/A	416417	4229	16920079	4256722	3974908	Asia
Ireland	1535451	N/A	7203	N/A	1497946	N/A	30302	28	304622	1429	12144747	2409429	5040509	Europe
Pakistan	1529165	+85	30376	N/A	1494141	N/A	4648	119	6681	133	28333116	123791	228878790	Asia
Norway	1429717	+87	3061	N/A	N/A	N/A	N/A	20	259940	557	11002430	2000372	5500191	Europe
Kazakhstan	1305636	+5	13661	N/A	1291669	+258	306	24	68020	712	11575012	603023	19194987	Asia
Singapore	1240233	+3383	1362	N/A	1158385	N/A	80486	8	208933	229	23767171	4003881	5936034	Asia
Hong Kong	1208247	+284	9360	+1	N/A	N/A	N/A	5	158766	1230	44972952	5909516	7610260	Asia
Morocco	1165706	+81	16071	N/A	1149015	+12	620	293	30900	426	11237010	297864	37725337	Africa
Bulgaria	1161504	+153	37045	+2	1014302	+22	110157	54	169536	5407	9924259	1448573	6851060	Europe
Croatia	1131105	+543	15925	+5	1110777	+718	4403	17	278726	3924	4835221	1191490	4058130	Europe
Cuba	1104496	+103	8529	N/A	1095442	+73	525	23	97624	754	12920253	1141997	11313741	North America
Lebanon	1097956	+94	10407	+2	1084853	+453	2696	186	162215	1538	4795578	708511	6768532	Asia
Finland	1069740	N/A	4284	N/A	N/A	N/A	N/A	21	192512	771	10832080	1949355	5556750	Europe
Lithuania	1060580	+152	9126	N/A	1032479	+425	18975	11	399979	3442	9954903	3754317	2651588	Europe
Tunisia	1041197	N/A	28575	N/A	N/A	N/A	N/A	29	86414	2372	4592916	381189	12048936	Africa
New Zealand	1037855	+7122	909	+17	983286	+6803	53660	N/A	207484	182	7127584	1424918	5002100	Australia/Oceania
Slovenia	1019468	+553	6622	+3	1003559	+970	9287	9	490254	3184	2656926	1277694	2079470	Europe
Belarus	982867	N/A	6978	N/A	N/A	N/A	N/A	N/A	104078	739	13220483	1399951	9443535	Europe
Nepal	978991	+2	11952	N/A	966889	+16	150	N/A	32511	397	5667049	188195	30112649	Asia
Bolivia	906083	+89	21926	N/A	863434	+215	20723	220	75699	1832	2705422	226025	11969554	South America
Uruguay	902540	N/A	7213	N/A	892434	N/A	2893	18	258152	2063	6114822	1749015	3496151	South America
UAE	902161	+352	2302	N/A	885825	+288	14034	N/A	89208	228	158900538	15712580	10112950	Asia
Ecuador	872268	N/A	35607	N/A	N/A	N/A	N/A	759	48080	1963	2470170	136158	18141962	South America
Costa Rica	866164	N/A	8444	N/A	841683	N/A	16037	48	167189	1630	4401922	849668	5180753	North America
Guatemala	851877	N/A	17792	N/A	831794	N/A	2291	5	45966	960	4543522	245163	18532670	North America
Latvia	825699	N/A	5798	N/A	816253	N/A	3648	6	446957	3139	7217715	3907005	1847378	Europe
Panama	806277	+3054	8203	+1	773421	+2054	24653	16	181543	1847	6019923	1355456	4441253	North America
Azerbaijan	792638	N/A	9709	N/A	782869	N/A	60	N/A	76885	942	6838458	663324	10309383	Asia
Saudi Arabia	758795	+434	9114	+3	743572	+263	6109	63	21181	254	42122082	1175822	35823522	Asia
Taiwan	687601	+64041	1049	+40	46143	N/A	640409	N/A	28773	44	15820952	662046	23897056	Asia
Sri Lanka	663663	+8	16511	N/A	646158	+2	994	N/A	30753	765	6486117	300555	21580463	Asia
Paraguay	649718	N/A	18872	N/A	624673	N/A	6173	2	89055	2587	2633737	360998	7295705	South America
Kuwait	632074	N/A	2555	N/A	629114	N/A	405	3	144040	582	8071763	1839430	4388186	Asia
Myanmar	613136	+20	19434	N/A	592081	+8	1621	N/A	11130	353	8076723	146612	55089133	Asia
Palestine	582119	N/A	5353	N/A	576684	N/A	82	17	109376	1006	3078533	578432	5322203	Asia
Dominican Republic	580412	+76	4376	N/A	575583	+98	453	1	52524	396	3305829	299156	11050510	North America
Bahrain	576997	+602	1479	N/A	569758	+537	5760	4	318491	816	9775981	5396149	1811659	Asia
Estonia	573922	N/A	2556	N/A	514836	N/A	56530	3	432106	1924	3345340	2518710	1328196	Europe
Venezuela	522921	N/A	5711	N/A	516170	N/A	1040	230	18487	202	3359014	118752	28285909	South America
Moldova	516986	N/A	11489	N/A	504142	N/A	1355	49	128715	2860	3216305	800772	4016504	Europe
Egypt	515645	N/A	24613	N/A	442182	N/A	48850	122	4868	232	3693367	34867	105928386	Africa
Libya	501904	N/A	6430	N/A	490973	N/A	4501	101	71240	913	2477219	351613	7045301	Africa
Cyprus	477711	N/A	1032	N/A	124370	N/A	352309	60	390374	843	9477138	7744481	1223728	Asia
Ethiopia	470937	+38	7510	N/A	455757	+2	7670	8	3916	62	4836364	40214	120265111	Africa
Mongolia	469885	N/A	2179	N/A	313256	N/A	154450	192	139159	645	4030048	1193522	3376601	Asia
Honduras	424390	N/A	10896	N/A	132358	N/A	281136	105	41615	1068	1365056	133856	10197959	North America
Armenia	422896	N/A	8623	N/A	412048	N/A	2225	N/A	142219	2900	3068217	1031834	2973558	Asia
Réunion	405980	N/A	762	N/A	395430	N/A	9788	10	447503	840	1603660	1767679	907212	Africa
Oman	389370	N/A	4259	N/A	384543	N/A	568	3	72801	796	25000000	4674286	5348410	Asia
Bosnia and Herzegovina	377511	N/A	15778	N/A	N/A	N/A	N/A	N/A	116414	4866	1767199	544957	3242823	Europe
Qatar	366034	+96	677	N/A	364332	+118	1025	1	130363	241	3484449	1240987	2807805	Asia
Kenya	324011	+36	5649	N/A	318130	+10	232	2	5788	101	3630986	64866	55976553	Africa
Zambia	320591	+110	3983	N/A	315997	+81	611	N/A	16575	206	3452554	178497	19342381	Africa
North Macedonia	310684	N/A	9289	N/A	300761	N/A	634	N/A	149137	4459	2034606	976666	2083215	Europe
Botswana	306324	N/A	2690	N/A	303026	N/A	608	1	125541	1102	2026898	830683	2440037	Africa
Albania	275574	+40	3497	N/A	271826	+14	251	2	95954	1218	1817530	632857	2871945	Europe
Algeria	265816	+2	6875	N/A	178371	N/A	80570	6	5865	152	230861	5093	45325517	Africa
Nigeria	255859	+23	3143	N/A	249943	+7	2773	11	1186	15	5114703	23717	215651424	Africa
Zimbabwe	249206	+75	5482	N/A	242417	+51	1307	12	16324	359	2287793	149863	15265849	Africa
Luxembourg	244182	N/A	1073	N/A	235939	N/A	7170	N/A	378610	1664	4248188	6586920	644943	Europe
Uzbekistan	238788	+10	1637	N/A	236946	+33	205	23	6947	48	1377915	40088	34372515	Asia
Montenegro	236212	+59	2718	N/A	232885	+74	609	6	376006	4327	2465201	3924142	628214	Europe
Mozambique	225493	+8	2201	N/A	223190	N/A	102	13	6857	67	1319772	40132	32885526	Africa
China	221565	+276	5206	+1	210006	+866	6353	384	154	4	160000000	111163	1439323776	Asia
Laos	209386	+65	754	N/A	N/A	N/A	N/A	N/A	28022	101	1232128	164896	7472169	Asia
Kyrgyzstan	200993	N/A	2991	N/A	196406	N/A	1596	131	29889	445	1907195	283613	6724638	Asia
Iceland	186545	+115	120	N/A	N/A	N/A	N/A	N/A	540134	347	2264004	6555338	345368	Europe
Maldives	179483	N/A	298	N/A	163687	N/A	15498	25	321497	534	2213831	3965506	558272	Asia
Afghanistan	179242	+22	7687	N/A	162155	+18	9400	1124	4419	190	950762	23441	40560636	Asia
Uganda	164069	N/A	3596	N/A	100205	N/A	60268	2	3388	74	2612795	53950	48429823	Africa
El Salvador	162089	N/A	4129	N/A	150662	N/A	7298	8	24757	631	1950448	297908	6547158	North America
Ghana	161280	N/A	1445	N/A	159788	N/A	47	1	4996	45	2442206	75655	32280617	Africa
Namibia	160074	+199	4028	N/A	153662	N/A	2384	N/A	60944	1534	1018783	387873	2626590	Africa
