Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	82252965	N/A	1014902	N/A	80095347	N/A	1142716	1536	245929	3034	994742849	2974186	334458823	North America
India	43039972	N/A	521772	N/A	42507038	N/A	11162	698	30652	372	794525202	565836	1404161824	Asia
Brazil	30234024	N/A	661855	N/A	29191158	N/A	381011	8318	140460	3075	63776166	296289	215249843	South America
France	27447397	N/A	143910	N/A	24635972	N/A	2667515	1541	418848	2196	260504402	3975303	65530697	Europe
Germany	23277316	N/A	133215	N/A	19444600	N/A	3699501	1980	276253	1581	122332384	1451827	84260978	Europe
UK	21747638	N/A	171396	N/A	20048794	N/A	1527448	355	317386	2501	512140269	7474209	68520995	Europe
Russia	18041927	N/A	372766	N/A	17321116	N/A	348045	2300	123536	2552	273400000	1872014	146045885	Europe
S. Korea	16104869	+125808	20616	+264	N/A	N/A	N/A	999	313643	401	15804065	307785	51347751	Asia
Italy	15533012	N/A	161336	N/A	14144014	N/A	1227662	420	257581	2675	208014099	3449452	60303524	Europe
Turkey	14983158	N/A	98514	N/A	14705256	N/A	179388	975	174314	1146	156696697	1823011	85954904	Asia
Spain	11662214	N/A	103266	N/A	11120708	N/A	438240	368	249262	2207	471036328	10067670	46787024	Europe
Vietnam	10320599	N/A	42901	N/A	8856627	N/A	1421071	1161	104356	434	85547798	865010	98898007	Asia
Argentina	9059351	N/A	128306	N/A	8891306	N/A	39739	412	197224	2793	35696389	777120	45934213	South America
Netherlands	8011448	N/A	22148	N/A	7244824	N/A	744476	108	465717	1287	21107399	1227004	17202382	Europe
Iran	7202055	N/A	140744	N/A	6934664	N/A	126647	1441	83836	1638	50079995	582956	85906977	Asia
Japan	7180734	N/A	28825	N/A	6642021	N/A	509888	467	57086	229	45167148	359076	125787084	Asia
Colombia	6089176	N/A	139738	N/A	5922410	N/A	27028	342	117442	2695	34226470	660124	51848522	South America
Indonesia	6037742	N/A	155794	N/A	5817904	N/A	64044	2771	21666	559	93725462	336327	278673384	Asia
Poland	5982664	N/A	115775	N/A	5333944	N/A	532945	268	158385	3065	35910845	950706	37772804	Europe
Mexico	5724611	N/A	323848	N/A	5025527	N/A	375236	4798	43585	2466	15691493	119468	131344642	North America
Australia	5296358	+36027	6719	+26	4756356	N/A	533283	127	203497	258	68145285	2618288	26026656	Australia/Oceania
Ukraine	4990465	N/A	108220	N/A	N/A	N/A	N/A	177	115344	2501	19521252	451192	43265976	Europe
Malaysia	4363024	N/A	35381	N/A	4209858	N/A	117785	154	131796	1069	57790499	1745710	33104294	Asia
